country,continent,year,lifeExp,pop,gdpPercap
Barbados,Americas,1962,65.87,228747,6204.489468
Barbados,Americas,1967,67.62,238224,7788.544085
Barbados,Americas,1972,69.42,242445,9853.806374
Barbados,Americas,1977,71.27,249169,11817.35591
Barbados,Americas,1982,72.695,253522,12736.47247
Barbados,Americas,1987,74.027,259428,13783.20898
Barbados,Americas,1992,74.894,264925,12263.45331
Barbados,Americas,1997,74.912,270096,13901.90893
Barbados,Americas,2002,75.97,275673,14544.49305
Barbados,Americas,2007,77.296,280946,17023.10239
