country,continent,year,lifeExp,pop,gdpPercap
Guyana,Americas,1962,57.32,597896,2202.776732
Guyana,Americas,1967,59.187,672848,2325.092727
Guyana,Americas,1972,59.958,742869,2439.146406
Guyana,Americas,1977,60.651,758334,2760.808387
Guyana,Americas,1982,60.923,761673,2334.359864
Guyana,Americas,1987,61.79,755464,2169.065751
Guyana,Americas,1992,62.531,747460,2234.654246
Guyana,Americas,1997,62.06,746336,3131.958941
Guyana,Americas,2002,63.578,759104,3237.953172
Guyana,Americas,2007,66.827,769095,3586.042643
