country,continent,year,lifeExp,pop,gdpPercap
China,Asia,1952,44,556263527,400.448611
China,Asia,1953,44.55952,581390000,508.9458694
China,Asia,1954,46.4656,595310000,511.0829177
China,Asia,1955,48.02216,608655000,526.7439603
China,Asia,1956,50.44528,621465000,560.4399495
China,Asia,1957,50.54896,637408000,575.9870009
China,Asia,1958,50.1584,653235000,622.4985891
China,Asia,1959,38.40448,666005000,616.1921861
China,Asia,1960,31.63176,667070000,591.8170473
China,Asia,1961,34.10448,660330000,492.0062811
China,Asia,1962,44.50136,665770000,487.6740183
China,Asia,1963,51.89912,682335000,520.6900172
China,Asia,1964,53.32072,698355000,566.2947915
China,Asia,1965,55.6468,715185000,613.4549871
China,Asia,1966,56.8032,735400000,649.6989604
China,Asia,1967,58.38112,754550000,612.7056934
China,Asia,1968,59.4052,774510000,582.400771
China,Asia,1969,60.9652,796025000,612.5461009
China,Asia,1970,62.6508,818315000,665.7836557
China,Asia,1971,63.73736,841105000,677.0101471
China,Asia,1972,63.11888,862030000,676.9000921
China,Asia,1973,62.7808,881940000,707.7530136
China,Asia,1974,62.4996,900350000,701.9200607
China,Asia,1975,62.69888,916395000,728.9965913
China,Asia,1976,62.43736,930685000,710.3795745
China,Asia,1977,63.96736,943455000,741.2374699
China,Asia,1978,64.24432,956165000,807.6260315
China,Asia,1979,65.08536,969005000,854.6172386
China,Asia,1980,66.12216,981235000,868.5881137
China,Asia,1981,66.44976,993861000,904.83126
China,Asia,1982,65.525,1000281000,962.4213805
China,Asia,1987,67.274,1084035000,1378.904018
China,Asia,1992,68.69,1164970000,1655.784158
China,Asia,1997,70.426,1230075000,2289.234136
China,Asia,2002,72.028,1280400000,3119.280896
China,Asia,2007,72.961,1318683096,4959.114854
