country,continent,year,lifeExp,pop,gdpPercap
Japan,Asia,1950,59.3,83805000,2644.585447
Japan,Asia,1951,60.99,85163848,2926.689586
Japan,Asia,1952,63.03,86459025,3216.956347
Japan,Asia,1953,63.37,87655163,3406.853094
Japan,Asia,1954,64.61,88753892,3554.902815
Japan,Asia,1955,65.77,89815060,3814.965272
Japan,Asia,1956,65.63,90766211,4058.838069
Japan,Asia,1957,65.5,91563009,4317.694365
Japan,Asia,1958,67.12,92388772,4528.38594
Japan,Asia,1959,67.51,93296566,4893.312509
Japan,Asia,1960,67.8,94091638,5488.805469
Japan,Asia,1961,68.45,94943293,6094.424202
Japan,Asia,1962,68.73,95831757,6576.649461
Japan,Asia,1963,69.81,96811940,7061.483649
Japan,Asia,1964,70.28,97826267,7803.680953
Japan,Asia,1965,70.33,98882534,8170.007443
Japan,Asia,1966,71.14,99790308,8957.28044
Japan,Asia,1967,71.43,100825279,9847.788607
Japan,Asia,1968,71.75,101960672,10991.99599
Japan,Asia,1969,71.98,103171831,12218.47929
Japan,Asia,1970,72.07,104344973,13374.86201
Japan,Asia,1971,72.89,105696786,13824.23536
Japan,Asia,1972,73.42,107188273,14778.78636
Japan,Asia,1973,73.48,108706797,15742.87517
Japan,Asia,1974,73.91,110162302,15344.57125
Japan,Asia,1975,74.41,111573116,15618.92782
Japan,Asia,1976,74.81,112774841,16066.66829
Japan,Asia,1977,75.38,113872473,16610.37701
Japan,Asia,1978,75.7,114912911,17327.75913
Japan,Asia,1979,76.21,115890431,18123.89211
Japan,Asia,1980,76.19,116807309,18488.25746
Japan,Asia,1981,76.6,117648092,18938.11132
Japan,Asia,1982,77.11,118454974,19384.10571
Japan,Asia,1983,77.14,119269949,19698.72425
Japan,Asia,1984,77.54,120034697,20339.95264
Japan,Asia,1985,77.84,120754335,21109.16097
Japan,Asia,1986,78.26,121491913,21588.49152
Japan,Asia,1987,78.67,122091325,22375.94189
Japan,Asia,1988,78.58,122613000,23661.03654
Japan,Asia,1989,79.02,123107500,24704.53408
Japan,Asia,1990,79.04,123537399,25870.13512
Japan,Asia,1991,79.31,123946268,26648.76575
Japan,Asia,1992,79.36,124329269,26824.89511
Japan,Asia,1993,79.51,124668019,26818.24098
Japan,Asia,1994,79.91,125014050,27037.82807
Japan,Asia,1995,79.76,125341354,27509.08014
Japan,Asia,1996,80.46,125645311,28385.15847
Japan,Asia,1997,80.69,125956499,28816.58499
Japan,Asia,1998,80.77,126246096,27904.67521
Japan,Asia,1999,80.74,126494403,27809.60299
Japan,Asia,2000,81.35,126699784,28559.60016
Japan,Asia,2001,81.7,126891645,28569.05491
Japan,Asia,2002,82,127065841,28604.5919
Japan,Asia,2003,82.07,127214499,29073.61233
Japan,Asia,2004,82.36,127333002,29742.04613
Japan,Asia,2005,82.27,127417244,30290
Japan,Asia,2006,82.67,127463611,31001.71797
Japan,Asia,2007,82.603,127467972,31656.06806
