country,continent,year,lifeExp,pop,gdpPercap
Taiwan,Asia,1950,54.6,7981454,1064.100714
Taiwan,Asia,1951,55.1,8251326,1113.333184
Taiwan,Asia,1952,58.5,8550362,1206.947913
Taiwan,Asia,1953,60.3,8849962,1278.499657
Taiwan,Asia,1954,62,9159966,1356.815915
Taiwan,Asia,1955,62.4,9485858,1419.976833
Taiwan,Asia,1956,62.5,9825346,1449.465184
Taiwan,Asia,1957,62.4,10164215,1507.86129
Taiwan,Asia,1958,64.2,10500314,1562.085741
Taiwan,Asia,1959,64.2,10852996,1630.24058
Taiwan,Asia,1960,64.4,11209160,1679.609606
Taiwan,Asia,1961,64.9,11563348,1740.861311
Taiwan,Asia,1962,65.2,11918938,1822.879028
Taiwan,Asia,1963,66,12276610,1938.910509
Taiwan,Asia,1964,66.7,12631480,2118.473387
Taiwan,Asia,1965,67.4,12977635,2297.808004
Taiwan,Asia,1966,67.4,13321002,2442.393391
Taiwan,Asia,1967,67.5,13648692,2643.858681
Taiwan,Asia,1968,67.6,13962358,2828.83567
Taiwan,Asia,1969,68.6,14282297,3022.679676
Taiwan,Asia,1970,68.69,14598316,3300.736289
Taiwan,Asia,1971,69.1,14918496,3652.203544
Taiwan,Asia,1972,69.39,15226039,4062.523897
Taiwan,Asia,1973,69.45,15525588,4505.87746
Taiwan,Asia,1974,69.81,15824103,4481.238056
Taiwan,Asia,1975,70.07,16122188,4618.243589
Taiwan,Asia,1976,70.43,16450056,5169.231377
Taiwan,Asia,1977,70.59,16785196,5596.519826
Taiwan,Asia,1978,71.16,17111535,6252.784539
Taiwan,Asia,1979,71.31,17450136,6656.700817
Taiwan,Asia,1980,71.54,17848320,6995.031783
Taiwan,Asia,1981,71.65,18177430,7302.76212
Taiwan,Asia,1982,72.16,18501390,7426.354774
Taiwan,Asia,1983,72.15,18803390,7923.0301
Taiwan,Asia,1984,72.81,19083348,8653.915924
Taiwan,Asia,1985,72.99,19337363,8973.481519
Taiwan,Asia,1986,73.12,19555581,9903.312959
Taiwan,Asia,1987,73.4,19757799,11054.56175
Taiwan,Asia,1988,73.21,19976096,11821.52204
Taiwan,Asia,1989,73.52,20207541,12683.80301
Taiwan,Asia,1990,73.8,20278957,13361.45062
Taiwan,Asia,1991,74.28,20492997,14233.5143
Taiwan,Asia,1992,74.26,20686918,15215.6579
Taiwan,Asia,1993,74.55,20883467,16120.59037
Taiwan,Asia,1994,74.72,21087873,17154.21489
Taiwan,Asia,1995,74.54,21282829,18108.61451
Taiwan,Asia,1996,74.72,21448723,19107.52043
Taiwan,Asia,1997,75.25,21628605,20206.82098
Taiwan,Asia,1998,75.45,21823024,20944.27222
Taiwan,Asia,1999,75.55,21993460,21984.53742
Taiwan,Asia,2000,76.11,22151237,23094.57288
Taiwan,Asia,2001,76.5,22303700,22434.19675
Taiwan,Asia,2002,76.99,22454239,23235.42329
Taiwan,Asia,2003,77.19,22603000,23879.03074
Taiwan,Asia,2004,77.3,22749838,25238.82357
Taiwan,Asia,2005,77.29,22894384,26069
Taiwan,Asia,2006,78.1,23036087,27248.06789
Taiwan,Asia,2007,78.4,23174294,28718.27684
