country,continent,year,lifeExp,pop,gdpPercap
Austria,Europe,1950,64.88,6935100,5733.098114
Austria,Europe,1951,65.26,6935451,6124.928282
Austria,Europe,1952,66.8,6927772,6137.076492
Austria,Europe,1953,67.29,6932483,6399.786948
Austria,Europe,1954,67.32,6940209,7045.971274
Austria,Europe,1955,67.6,6946885,7817.250888
Austria,Europe,1956,67.72,6952359,8348.449465
Austria,Europe,1957,67.48,6965860,8842.59803
Austria,Europe,1958,68.49,6987358,9137.296178
Austria,Europe,1959,68.42,7014331,9360.853847
Austria,Europe,1960,68.78,7047437,10083.83005
Austria,Europe,1961,69.75,7086299,10560.9654
Austria,Europe,1962,69.54,7129864,10750.72111
Austria,Europe,1963,69.67,7175811,11116.70439
Austria,Europe,1964,70.16,7223801,11705.63362
Austria,Europe,1965,69.95,7270889,11964.2821
Austria,Europe,1966,70.26,7322066,12549.33397
Austria,Europe,1967,70.14,7376998,12834.6024
Austria,Europe,1968,70.29,7415403,13335.55703
Austria,Europe,1969,70.06,7441055,14125.31596
Austria,Europe,1970,70.11,7467086,15078.76996
Austria,Europe,1971,70.31,7500482,15779.07374
Austria,Europe,1972,70.63,7544201,16661.6256
Austria,Europe,1973,71.21,7586115,17379.3273
Austria,Europe,1974,71.2,7599038,18033.975
Austria,Europe,1975,71.33,7578903,18016.36617
Austria,Europe,1976,71.82,7565525,18874.29543
Austria,Europe,1977,72.17,7568430,19749.4223
Austria,Europe,1978,72.25,7562305,19693.61751
Austria,Europe,1979,72.56,7549425,20803.39934
Austria,Europe,1980,72.7,7549433,21284.70833
Austria,Europe,1981,73.02,7564629,21220.8879
Austria,Europe,1982,73.18,7574613,21597.08362
Austria,Europe,1983,73.25,7552896,22266.66334
Austria,Europe,1984,73.79,7554132,22336.9462
Austria,Europe,1985,74.01,7559776,22821.20054
Austria,Europe,1986,74.49,7568242,23329.15536
Austria,Europe,1987,74.94,7578903,23687.82607
Austria,Europe,1988,75.41,7599791,24371.17769
Austria,Europe,1989,75.5,7627861,25307.87479
Austria,Europe,1990,75.77,7722953,26134.99521
Austria,Europe,1991,75.83,7818423,26744.39669
Austria,Europe,1992,76.04,7914969,27042.01868
Austria,Europe,1993,76.27,7988599,26882.04406
Austria,Europe,1994,76.6,8027540,27463.47863
Austria,Europe,1995,76.84,8047433,27918.81948
Austria,Europe,1996,77.1,8060852,28602.35254
Austria,Europe,1997,77.51,8069876,29095.92066
Austria,Europe,1998,77.88,8078622,30107.97838
Austria,Europe,1999,78.06,8094156,31039.61877
Austria,Europe,2000,78.35,8113413,32008.50466
Austria,Europe,2001,78.85,8131690,32196.42488
Austria,Europe,2002,78.98,8148312,32417.60769
Austria,Europe,2003,78.98,8162656,32741.18737
Austria,Europe,2004,79.49,8174762,33455.69403
Austria,Europe,2005,79.66,8184691,34108
Austria,Europe,2007,79.829,8199783,36126.4927
