country,continent,year,lifeExp,pop,gdpPercap
Bulgaria,Europe,1950,61.39,7250500,2131.563149
Bulgaria,Europe,1951,60.63,7258200,2567.424534
Bulgaria,Europe,1952,59.6,7274900,2444.286648
Bulgaria,Europe,1953,64.14,7346100,2691.935068
Bulgaria,Europe,1954,64.4,7423300,2613.983108
Bulgaria,Europe,1955,64.81,7499400,2772.894304
Bulgaria,Europe,1956,65.21,7575800,2747.377929
Bulgaria,Europe,1957,66.61,7651254,3008.670727
Bulgaria,Europe,1958,68.71,7727553,3238.108918
Bulgaria,Europe,1959,66.57,7797777,3464.569652
Bulgaria,Europe,1960,69.18,7867374,3759.16551
Bulgaria,Europe,1961,70.22,7943118,3966.093248
Bulgaria,Europe,1962,69.51,8012946,4254.337839
Bulgaria,Europe,1963,70.34,8078145,4412.810322
Bulgaria,Europe,1964,71.14,8144339,4721.863908
Bulgaria,Europe,1965,71.3,8201400,4970.48803
Bulgaria,Europe,1966,71.23,8258057,5325.953431
Bulgaria,Europe,1967,70.42,8310226,5577.0028
Bulgaria,Europe,1968,71.25,8369603,5639.346751
Bulgaria,Europe,1969,70.43,8434172,5868.78268
Bulgaria,Europe,1970,71.27,8489574,6162.468503
Bulgaria,Europe,1971,70.87,8536395,6328.504247
Bulgaria,Europe,1972,70.9,8576200,6597.494398
Bulgaria,Europe,1973,71.34,8620997,6822.385269
Bulgaria,Europe,1974,71.2,8678745,6989.571515
Bulgaria,Europe,1975,71.05,8720742,7527.863173
Bulgaria,Europe,1976,71.38,8755037,7722.871137
Bulgaria,Europe,1977,70.81,8797022,7612.240438
Bulgaria,Europe,1978,71.17,8803281,7771.118048
Bulgaria,Europe,1979,71.27,8811589,8062.600739
Bulgaria,Europe,1980,71.1,8843528,7802.845798
Bulgaria,Europe,1981,71.49,8869441,7987.015204
Bulgaria,Europe,1982,71.08,8892098,8224.191647
Bulgaria,Europe,1983,71.25,8910284,8052.372566
Bulgaria,Europe,1984,71.35,8928271,8301.979654
Bulgaria,Europe,1985,71.07,8943573,8037.950013
Bulgaria,Europe,1986,71.55,8958770,8236.461605
Bulgaria,Europe,1987,71.34,8971958,8239.854824
Bulgaria,Europe,1988,71.4,8982025,8179.010541
Bulgaria,Europe,1989,71.46,8990055,8025.266041
Bulgaria,Europe,1990,71.31,8894028,7225.877958
Bulgaria,Europe,1991,71.18,8772368,6710.698795
Bulgaria,Europe,1992,71.19,8658506,6302.623438
Bulgaria,Europe,1993,71.18,8441872,6367.39497
Bulgaria,Europe,1994,70.85,8353335,6550.710885
Bulgaria,Europe,1995,70.95,8255811,6820.307624
Bulgaria,Europe,1996,70.85,8161026,6250.966075
Bulgaria,Europe,1997,70.32,8066057,5970.38876
Bulgaria,Europe,1998,70.91,7971774,6282.641215
Bulgaria,Europe,1999,71.57,7893227,6491.099672
Bulgaria,Europe,2000,71.59,7818495,6907.013722
Bulgaria,Europe,2001,71.9,7738416,7264.607226
Bulgaria,Europe,2002,72.14,7661799,7696.777725
Bulgaria,Europe,2003,72.35,7588399,8105.388755
Bulgaria,Europe,2004,72.54,7517973,8721.228028
Bulgaria,Europe,2005,72.52,7450349,9353
Bulgaria,Europe,2007,73.005,7322858,10680.79282
