country,continent,year,lifeExp,pop,gdpPercap
Czech Republic,Europe,1950,64.43,8925122,6690.749648
Czech Republic,Europe,1951,65.25,9023170,6734.885719
Czech Republic,Europe,1952,66.87,9125183,6876.14025
Czech Republic,Europe,1953,67.56,9220908,6774.039587
Czech Republic,Europe,1954,68.05,9290617,6979.21869
Czech Republic,Europe,1955,68.97,9365969,7495.881059
Czech Republic,Europe,1956,69.37,9442040,7855.581257
Czech Republic,Europe,1957,69.03,9513758,8256.343918
Czech Republic,Europe,1958,69.94,9574650,8811.025887
Czech Republic,Europe,1959,69.92,9618554,9135.702191
Czech Republic,Europe,1960,70.46,9659818,9763.502773
Czech Republic,Europe,1961,70.64,9587250,10060.06939
Czech Republic,Europe,1962,69.9,9620282,10136.86713
Czech Republic,Europe,1963,70.42,9666468,9880.818469
Czech Republic,Europe,1964,70.58,9726030,10268.34191
Czech Republic,Europe,1965,70.27,9776922,10574.6228
Czech Republic,Europe,1966,70.49,9815359,10972.00996
Czech Republic,Europe,1967,70.38,9835109,11399.44489
Czech Republic,Europe,1968,69.94,9851051,11893.045
Czech Republic,Europe,1969,69.44,9806577,12144.16425
Czech Republic,Europe,1970,69.53,9795226,12359.08198
Czech Republic,Europe,1971,69.77,9824749,12726.07613
Czech Republic,Europe,1972,70.29,9862158,13108.4536
Czech Republic,Europe,1973,70.13,9912080,13457.94085
Czech Republic,Europe,1974,70.21,9975770,13843.19819
Czech Republic,Europe,1975,70.55,10042019,14142.29877
Czech Republic,Europe,1976,70.66,10105143,14260.47536
Czech Republic,Europe,1977,70.71,10161915,14800.16062
Czech Republic,Europe,1978,70.78,10212894,14882.16908
Czech Republic,Europe,1979,70.89,10259670,14916.48544
Czech Republic,Europe,1980,70.42,10288726,15255.986
Czech Republic,Europe,1981,70.86,10297904,15123.0591
Czech Republic,Europe,1982,70.96,10303704,15377.22855
Czech Republic,Europe,1983,70.73,10306888,15571.71065
Czech Republic,Europe,1984,70.99,10309224,15900.92311
Czech Republic,Europe,1985,71.2,10310162,15992.09469
Czech Republic,Europe,1986,71.13,10308836,16259.80427
Czech Republic,Europe,1987,71.58,10311597,16310.4434
Czech Republic,Europe,1988,71.78,10313782,16644.97723
Czech Republic,Europe,1989,71.83,10314343,16757.82085
Czech Republic,Europe,1990,71.49,10309514,16270.17261
Czech Republic,Europe,1991,72.03,10305158,14376.48735
Czech Republic,Europe,1992,72.4,10315702,14297.02122
Czech Republic,Europe,1993,72.92,10326434,14300.96105
Czech Republic,Europe,1994,73.13,10330165,14617.02155
Czech Republic,Europe,1995,73.26,10323830,15493.47308
Czech Republic,Europe,1996,73.9,10311817,16137.212
Czech Republic,Europe,1997,74.01,10300707,16048.51424
Czech Republic,Europe,1998,74.63,10290949,15959.62777
Czech Republic,Europe,1999,74.81,10280436,16205.16024
Czech Republic,Europe,2000,75.06,10270128,16823.23775
Czech Republic,Europe,2001,75.39,10262308,17255.90228
Czech Republic,Europe,2002,75.51,10256295,17596.21022
Czech Republic,Europe,2003,75.46,10251087,18237.58775
Czech Republic,Europe,2004,76.01,10246178,19061.06809
Czech Republic,Europe,2005,76.22,10241138,20281
Czech Republic,Europe,2006,76.78,10235455,21577.07702
Czech Republic,Europe,2007,76.486,10228744,22833.30851
