country,continent,year,lifeExp,pop,gdpPercap
Denmark,Europe,1950,70.33,4271000,9675.477458
Denmark,Europe,1951,70.93,4303620,9666.254146
Denmark,Europe,1952,70.78,4334000,9692.385245
Denmark,Europe,1953,71.15,4369280,10161.10541
Denmark,Europe,1954,71.35,4406000,10272.20028
Denmark,Europe,1955,71.92,4439000,10305.71133
Denmark,Europe,1956,72.05,4466471,10366.19
Denmark,Europe,1957,71.81,4487831,11099.65935
Denmark,Europe,1958,72.24,4515132,11280.99757
Denmark,Europe,1959,72.22,4546636,12036.20036
Denmark,Europe,1960,72.21,4581000,12279.61856
Denmark,Europe,1961,72.47,4609817,12976.43602
Denmark,Europe,1962,72.35,4646899,13583.31351
Denmark,Europe,1963,72.44,4683579,13561.43467
Denmark,Europe,1964,72.52,4720171,14715.16498
Denmark,Europe,1965,72.4,4758100,15263.86573
Denmark,Europe,1966,72.48,4797500,15551.56018
Denmark,Europe,1967,72.96,4838800,15937.21123
Denmark,Europe,1968,73.17,4867300,16494.95248
Denmark,Europe,1969,73.26,4890687,17461.79325
Denmark,Europe,1970,73.38,4928757,17677.79288
Denmark,Europe,1971,73.44,4963126,18023.43374
Denmark,Europe,1972,73.47,4991596,18866.20721
Denmark,Europe,1973,73.71,5021861,19433.4781
Denmark,Europe,1974,73.84,5045297,19162.84526
Denmark,Europe,1975,74.11,5059861,18981.55018
Denmark,Europe,1976,73.78,5072596,20159.41674
Denmark,Europe,1977,74.69,5088419,20422.9015
Denmark,Europe,1978,74.45,5104247,20660.16103
Denmark,Europe,1979,74.27,5116800,21339.90635
Denmark,Europe,1980,74.16,5123027,21219.85084
Denmark,Europe,1981,74.29,5121572,21037.04755
Denmark,Europe,1982,74.63,5117810,21688.04048
Denmark,Europe,1983,74.5,5114297,22249.53046
Denmark,Europe,1984,74.65,5111619,23238.53543
Denmark,Europe,1985,74.52,5113691,24225.4201
Denmark,Europe,1986,74.69,5120534,25074.25739
Denmark,Europe,1987,74.8,5127024,25116.17581
Denmark,Europe,1988,74.89,5129516,25396.29132
Denmark,Europe,1989,74.92,5132593,25447.85704
Denmark,Europe,1990,74.92,5140954,25714.12973
Denmark,Europe,1991,75.29,5154352,25980.80761
Denmark,Europe,1992,75.33,5171393,26406.73985
Denmark,Europe,1993,75.25,5188386,26296.6636
Denmark,Europe,1994,75.51,5205603,27657.88425
Denmark,Europe,1995,75.36,5232612,28358.52353
Denmark,Europe,1996,75.74,5262075,28999.08162
Denmark,Europe,1997,76.11,5283663,29804.34567
Denmark,Europe,1998,76.51,5302767,30338.82805
Denmark,Europe,1999,76.66,5320134,31013.02697
Denmark,Europe,2000,76.9,5337416,32016.75301
Denmark,Europe,2001,77.06,5355826,32134.10623
Denmark,Europe,2002,77.18,5374693,32166.50006
Denmark,Europe,2003,77.78,5394138,32174.80797
Denmark,Europe,2004,77.58,5413392,32737.91096
Denmark,Europe,2005,78.32,5432335,33626
Denmark,Europe,2006,78.32,5450661,34724.80085
Denmark,Europe,2007,78.332,5468120,35278.41874
