country,continent,year,lifeExp,pop,gdpPercap
Finland,Europe,1950,64.24,4008900,5845.626316
Finland,Europe,1951,65.67,4047300,6282.553916
Finland,Europe,1952,66.55,4090500,6424.519071
Finland,Europe,1953,66.61,4139400,6393.115429
Finland,Europe,1954,67.57,4186900,6874.027206
Finland,Europe,1955,67.37,4234900,7142.394529
Finland,Europe,1956,67.99,4281700,7277.784158
Finland,Europe,1957,67.49,4324000,7545.415386
Finland,Europe,1958,68.63,4359800,7523.807653
Finland,Europe,1959,68.81,4394700,7907.517148
Finland,Europe,1960,69.01,4429600,8562.873298
Finland,Europe,1961,69.04,4461004,9150.501094
Finland,Europe,1962,68.75,4491443,9371.842561
Finland,Europe,1963,69.16,4523309,9612.397646
Finland,Europe,1964,69.37,4548544,10042.2193
Finland,Europe,1965,69.13,4563732,10540.93525
Finland,Europe,1966,69.65,4580869,10753.82335
Finland,Europe,1967,69.83,4605744,10921.63626
Finland,Europe,1968,69.79,4626469,11122.84283
Finland,Europe,1969,69.67,4623785,12201.15061
Finland,Europe,1970,70.36,4606307,13162.24522
Finland,Europe,1971,70.18,4612124,13420.39361
Finland,Europe,1972,70.87,4639657,14358.8759
Finland,Europe,1973,71.38,4666081,15235.13292
Finland,Europe,1974,71.3,4690574,15614.72342
Finland,Europe,1975,71.85,4711439,15724.68289
Finland,Europe,1976,72,4725664,15610.74835
Finland,Europe,1977,72.52,4738902,15605.42283
Finland,Europe,1978,73.08,4752528,15886.30722
Finland,Europe,1979,73.37,4764690,16948.21601
Finland,Europe,1980,73.66,4779535,17796.77274
Finland,Europe,1981,73.98,4799964,18051.16806
Finland,Europe,1982,74.55,4826933,18533.15761
Finland,Europe,1983,74.46,4855787,18920.89628
Finland,Europe,1984,74.77,4881788,19387.97098
Finland,Europe,1985,74.44,4901783,19958.81374
Finland,Europe,1986,74.8,4917386,20367.54884
Finland,Europe,1987,74.83,4931729,21141.01223
Finland,Europe,1988,74.79,4946633,22110.8847
Finland,Europe,1989,75.01,4962441,23289.79916
Finland,Europe,1990,75.04,4986431,23180.78249
Finland,Europe,1991,75.45,5013786,21581.74989
Finland,Europe,1992,75.7,5041039,20647.16499
Finland,Europe,1993,75.94,5064846,20294.8084
Finland,Europe,1994,76.64,5086044,21005.54254
Finland,Europe,1995,76.66,5104654,21650.14541
Finland,Europe,1996,76.94,5120310,22402.49628
Finland,Europe,1997,77.13,5134406,23723.9502
Finland,Europe,1998,77.34,5146983,25004.32237
Finland,Europe,1999,77.53,5158097,25915.26438
Finland,Europe,2000,77.76,5168595,27171.96611
Finland,Europe,2001,78.23,5180309,27825.5291
Finland,Europe,2002,78.37,5193039,28204.59057
Finland,Europe,2003,78.63,5204405,28650.02742
Finland,Europe,2004,78.96,5214512,29651.4045
Finland,Europe,2005,79.09,5223442,30469
Finland,Europe,2006,79.49,5231372,31902.6734
Finland,Europe,2007,79.313,5238460,33207.0844
