country,continent,year,lifeExp,pop,gdpPercap
France,Europe,1950,66.39,41828673,6595.926631
France,Europe,1951,66.12,42155534,6913.756537
France,Europe,1952,67.41,42459667,7029.809327
France,Europe,1953,67.34,42751746,7171.244319
France,Europe,1954,68.21,43056505,7485.855759
France,Europe,1955,68.47,43427669,7851.776992
France,Europe,1956,68.5,43843075,8224.217165
France,Europe,1957,68.93,44310863,8662.834898
France,Europe,1958,70.16,44788852,8855.252659
France,Europe,1959,70.19,45239729,9040.636982
France,Europe,1960,70.4,45670000,9640.940051
France,Europe,1961,70.98,46189000,10070.70911
France,Europe,1962,70.51,47124000,10560.48553
France,Europe,1963,70.36,47808000,10941.36907
France,Europe,1964,71.32,48340000,11541.52506
France,Europe,1965,71.15,48763000,11985.95392
France,Europe,1966,71.56,49194000,12511.09646
France,Europe,1967,71.55,49569000,12999.91766
France,Europe,1968,71.54,49934000,13457.29711
France,Europe,1969,71.27,50353000,14289.38322
France,Europe,1970,72.16,50787000,14979.38205
France,Europe,1971,72.13,51285000,15554.55925
France,Europe,1972,72.38,51732000,16107.19171
France,Europe,1973,72.54,52157000,16853.49326
France,Europe,1974,72.89,52503000,17266.97996
France,Europe,1975,72.98,52758427,17140.24026
France,Europe,1976,73.22,52953613,17799.33496
France,Europe,1977,73.83,53165019,18292.63514
France,Europe,1978,73.95,53380649,18825.95486
France,Europe,1979,74.26,53605523,19409.07809
France,Europe,1980,74.35,53869743,19660.01861
France,Europe,1981,74.51,54147284,19835.85601
France,Europe,1982,74.89,54433565,20293.89746
France,Europe,1983,74.87,54649810,20643.23289
France,Europe,1984,75.37,54946500,20888.34207
France,Europe,1985,75.47,55171224,21225.41215
France,Europe,1986,75.75,55387361,21656.22833
France,Europe,1987,76.34,55630100,22066.44214
France,Europe,1988,76.57,55873463,22990.10356
France,Europe,1989,76.7,56416625,23669.58284
France,Europe,1990,76.99,56735161,24182.34052
France,Europe,1991,77.17,57055448,24382.98257
France,Europe,1992,77.46,57374179,24703.79615
France,Europe,1993,77.51,57658289,24334.03492
France,Europe,1994,77.95,57906847,24747.81699
France,Europe,1995,78.07,58149727,25214.34926
France,Europe,1996,78.28,58388408,25406.80475
France,Europe,1997,78.64,58623428,25889.78487
France,Europe,1998,78.81,58866290,26704.51324
France,Europe,1999,78.94,59116128,27466.21016
France,Europe,2000,79.25,59381628,28443.62305
France,Europe,2001,79.44,59658144,28827.72241
France,Europe,2002,79.59,59925035,28926.03234
France,Europe,2003,79.59,60180529,28970.5971
France,Europe,2004,80.52,60424213,29466.09716
France,Europe,2005,80.5,60656178,29644
France,Europe,2007,80.657,61083916,30470.0167
