country,continent,year,lifeExp,pop,gdpPercap
Germany,Europe,1950,66.47296,68374572,6090.034207
Germany,Europe,1952,67.5,69145952,7144.114393
Germany,Europe,1957,69.1,71019069,10187.82665
Germany,Europe,1962,70.3,73739117,12902.46291
Germany,Europe,1967,70.8,76368453,14745.62561
Germany,Europe,1972,71,78717088,18016.18027
Germany,Europe,1977,72.5,78160773,20512.92123
Germany,Europe,1982,73.8,78335266,22031.53274
Germany,Europe,1987,74.847,77718298,24639.18566
Germany,Europe,1991,75.61,79984244,26127.05882
Germany,Europe,1992,76.07,80597764,26505.30317
Germany,Europe,1993,76.15,81132272,26119.4586
Germany,Europe,1994,76.47,81414164,26720.64284
Germany,Europe,1995,76.65,81653702,27145.95792
Germany,Europe,1996,76.9,81890667,27336.46604
Germany,Europe,1997,77.34,82011073,27788.88416
Germany,Europe,1998,77.7,82023672,28291.5981
Germany,Europe,1999,77.94,82074778,28842.65612
Germany,Europe,2000,78.21,82187909,29726.87876
Germany,Europe,2001,78.57,82280551,30061.39867
Germany,Europe,2002,78.67,82350671,30035.80198
Germany,Europe,2003,78.74,82398326,29952.93665
Germany,Europe,2004,79.33,82424609,30260.6614
Germany,Europe,2005,79.46,82431390,30496
Germany,Europe,2006,79.79,82422299,31374.42754
Germany,Europe,2007,79.406,82400996,32170.37442
