country,continent,year,lifeExp,pop,gdpPercap
Norway,Europe,1950,71.6,3265126,9427.920942
Norway,Europe,1951,72.54,3295871,9845.992115
Norway,Europe,1952,72.67,3327728,10095.42172
Norway,Europe,1953,73.15,3360888,10392.81493
Norway,Europe,1954,73.23,3394246,10810.10126
Norway,Europe,1955,73.44,3427409,10941.85332
Norway,Europe,1956,73.49,3459992,11417.25493
Norway,Europe,1957,73.44,3491938,11653.97304
Norway,Europe,1958,73.43,3522993,11551.24388
Norway,Europe,1959,73.56,3552851,11936.99492
Norway,Europe,1960,73.58,3581239,12508.70127
Norway,Europe,1961,73.59,3609800,13187.53944
Norway,Europe,1962,73.47,3638919,13450.40151
Norway,Europe,1963,73.11,3666540,13859.59033
Norway,Europe,1964,73.61,3694339,14439.99117
Norway,Europe,1965,73.73,3723153,15089.13985
Norway,Europe,1966,74.01,3753628,15532.67709
Norway,Europe,1967,74.08,3786019,16361.87647
Norway,Europe,1968,73.96,3818983,16584.91171
Norway,Europe,1969,73.67,3850977,17189.35373
Norway,Europe,1970,74.08,3877386,17411.50478
Norway,Europe,1971,74.18,3903039,18184.49176
Norway,Europe,1972,74.34,3933004,18965.05551
Norway,Europe,1973,74.43,3960613,19663.97791
Norway,Europe,1974,74.75,3985258,20361.63023
Norway,Europe,1975,74.8,4007313,21308.18679
Norway,Europe,1976,75.03,4026152,22451.94757
Norway,Europe,1977,75.37,4043205,23311.34939
Norway,Europe,1978,75.4,4058671,24032.44667
Norway,Europe,1979,75.39,4072517,25024.03337
Norway,Europe,1980,75.65,4085620,26178.35602
Norway,Europe,1981,75.84,4099702,26340.45425
Norway,Europe,1982,75.97,4114787,26298.63531
Norway,Europe,1983,76.03,4128432,27150.3182
Norway,Europe,1984,76.19,4140095,28673.01615
Norway,Europe,1985,75.9,4152419,30074.27105
Norway,Europe,1986,76.04,4166596,31050.82105
Norway,Europe,1987,75.89,4186147,31540.9748
Norway,Europe,1988,75.99,4208729,31358.23328
Norway,Europe,1989,76.33,4226142,31527.69364
Norway,Europe,1990,76.41,4242006,32064.81755
Norway,Europe,1991,76.93,4261733,33070.56769
Norway,Europe,1992,77.32,4286357,33965.66115
Norway,Europe,1993,77.28,4311964,34684.12845
Norway,Europe,1994,77.86,4336638,36299.49293
Norway,Europe,1995,77.89,4359101,37685.97493
Norway,Europe,1996,78.32,4381277,39465.28969
Norway,Europe,1997,78.32,4405672,41283.16433
Norway,Europe,1998,78.49,4432718,41912.99271
Norway,Europe,1999,78.47,4463377,42491.08975
Norway,Europe,2000,78.76,4492400,43587.57941
Norway,Europe,2001,78.98,4515195,44223.20205
Norway,Europe,2002,79.05,4535591,44683.97525
Norway,Europe,2003,79.61,4555400,44937.55365
Norway,Europe,2004,80.06,4574560,46475.6784
Norway,Europe,2005,80.29,4593041,47551
Norway,Europe,2006,80.55,4610820,48264.6727
Norway,Europe,2007,80.196,4627926,49357.19017
