country,continent,year,lifeExp,pop,gdpPercap
Poland,Europe,1952,61.31,25730551,4029.329699
Poland,Europe,1957,65.77,28235346,4734.253019
Poland,Europe,1958,65.92,28692576,4885.491828
Poland,Europe,1959,65.53,29152334,4948.301085
Poland,Europe,1960,67.86,29589842,5137.593634
Poland,Europe,1961,67.98,29978949,5475.677263
Poland,Europe,1962,67.64,30329617,5338.752143
Poland,Europe,1963,68.57,30662122,5597.456046
Poland,Europe,1964,68.8,30975520,5788.405243
Poland,Europe,1965,69.5,31262358,6052.025449
Poland,Europe,1966,69.91,31532016,6378.941971
Poland,Europe,1967,69.61,31785378,6557.152776
Poland,Europe,1968,70.25,32034813,6900.037897
Poland,Europe,1969,69.74,32280848,6778.281725
Poland,Europe,1970,69.87,32526000,7076.38633
Poland,Europe,1971,69.67,32777810,7522.538545
Poland,Europe,1972,70.85,33039545,8006.506993
Poland,Europe,1973,70.85,33331131,8533.519956
Poland,Europe,1974,71.36,33642890,8950.744008
Poland,Europe,1975,70.77,33969240,9281.984283
Poland,Europe,1976,70.77,34299428,9421.87973
Poland,Europe,1977,70.67,34621254,9508.141454
Poland,Europe,1978,70.6,34929072,9766.194029
Poland,Europe,1979,70.93,35256645,9496.484204
Poland,Europe,1980,70.28,35578016,9173.321647
Poland,Europe,1981,71.26,35901961,8606.550203
Poland,Europe,1982,71.32,36227381,8451.531004
Poland,Europe,1983,71.16,36571418,8786.113972
Poland,Europe,1984,70.9,36904134,9030.450647
Poland,Europe,1985,70.64,37225792,9046.300125
Poland,Europe,1986,70.93,37504275,9263.851026
Poland,Europe,1987,70.98,37740710,9082.351172
Poland,Europe,1988,71.35,37866840,9252.06033
Poland,Europe,1989,71.1,37970155,9083.714502
Poland,Europe,1990,70.75,38119408,8172.110085
Poland,Europe,1991,70.45,38253222,7572.207653
Poland,Europe,1992,70.99,38370697,7738.881247
Poland,Europe,1993,71.51,38467746,8007.930474
Poland,Europe,1994,71.82,38548296,8414.155074
Poland,Europe,1995,72.05,38600642,8986.892389
Poland,Europe,1996,72.39,38629842,9518.902961
Poland,Europe,1997,72.75,38654957,10159.58368
Poland,Europe,1998,73.13,38668756,10716.1256
Poland,Europe,1999,73.18,38665539,11208.80057
Poland,Europe,2000,73.91,38654164,11680.79102
Poland,Europe,2001,74.33,38643641,11825.86665
Poland,Europe,2002,74.67,38625976,12002.23908
Poland,Europe,2003,74.85,38602853,12472.53327
Poland,Europe,2004,75.02,38580445,13146.00686
Poland,Europe,2005,75.15,38557984,13573
Poland,Europe,2006,75.35,38536869,14426.05823
Poland,Europe,2007,75.563,38518241,15389.92468
