country,continent,year,lifeExp,pop,gdpPercap
Slovenia,Europe,1952,65.57,1489518,4215.041741
Slovenia,Europe,1957,67.85,1533070,5862.276629
Slovenia,Europe,1962,69.15,1582962,7402.303395
Slovenia,Europe,1967,69.18,1646912,9405.489397
Slovenia,Europe,1972,69.82,1694510,12383.4862
Slovenia,Europe,1977,70.97,1746919,15277.03017
Slovenia,Europe,1982,71.063,1861252,17866.72175
Slovenia,Europe,1983,70.88,1878555,17919.36275
Slovenia,Europe,1984,71.34,1896413,18272.76075
Slovenia,Europe,1985,71.77,1914220,18324.03926
Slovenia,Europe,1986,72.32,1932129,18979.16819
Slovenia,Europe,1987,72.25,1945870,18678.53492
Slovenia,Europe,1988,72.9,1961775,18334.5781
Slovenia,Europe,1989,73.35,1976217,18023.13215
Slovenia,Europe,1990,73.86,1991210,16645.76222
Slovenia,Europe,1991,73.5,1999480,15100.59008
Slovenia,Europe,1992,73.64,1999210,14214.71681
Slovenia,Europe,1993,73.52,1999926,14560.02315
Slovenia,Europe,1994,73.96,2001036,15279.5832
Slovenia,Europe,1995,74.67,2002827,15857.28478
Slovenia,Europe,1996,75.11,2007429,16392.54553
Slovenia,Europe,1997,75.13,2011612,17161.10735
Slovenia,Europe,1998,75.26,2010807,17747.88348
Slovenia,Europe,1999,75.64,2009653,18663.39949
Slovenia,Europe,2000,76.11,2010557,19399.68944
Slovenia,Europe,2001,76.38,2011179,19966.89487
Slovenia,Europe,2002,76.66,2011497,20660.01936
Slovenia,Europe,2003,76.55,2011604,21203.46336
Slovenia,Europe,2004,77.28,2011473,22113.22127
Slovenia,Europe,2005,77.6,2011070,23004
Slovenia,Europe,2006,78.24,2010347,24302.1641
Slovenia,Europe,2007,77.926,2009245,25768.25759
