country,continent,year,lifeExp,pop,gdpPercap
Spain,Europe,1950,61.87,28062963,3280.315024
Spain,Europe,1951,61.52,28298010,3576.315114
Spain,Europe,1952,64.94,28549870,3834.034742
Spain,Europe,1953,65.81,28804128,3787.808989
Spain,Europe,1954,67.01,29060413,4039.519387
Spain,Europe,1955,66.78,29318745,4163.500932
Spain,Europe,1956,66.82,29579142,4462.540356
Spain,Europe,1957,66.66,29841614,4564.80241
Spain,Europe,1958,68.85,30106188,4720.206871
Spain,Europe,1959,68.77,30372877,4571.300919
Spain,Europe,1960,69.27,30641187,4603.06757
Spain,Europe,1961,69.66,30903894,5149.129055
Spain,Europe,1962,69.69,31158061,5693.843879
Spain,Europe,1963,69.85,31429834,6221.104643
Spain,Europe,1964,70.58,31740862,6765.927648
Spain,Europe,1965,70.99,32084511,7136.520325
Spain,Europe,1966,71.25,32451975,7582.37058
Spain,Europe,1967,71.44,32850275,7993.512294
Spain,Europe,1968,71.73,33239301,8374.242965
Spain,Europe,1969,71.26,33566084,9039.406707
Spain,Europe,1970,72.24,33876479,9469.633593
Spain,Europe,1971,71.85,34195056,9918.210638
Spain,Europe,1972,73.06,34513161,10638.75131
Spain,Europe,1973,72.84,34836716,11481.02039
Spain,Europe,1974,73.22,35184287,12212.4568
Spain,Europe,1975,73.55,35563535,12507.47724
Spain,Europe,1976,73.87,35996780,12886.56515
Spain,Europe,1977,74.39,36439000,13236.92117
Spain,Europe,1978,74.58,36861034,13521.54896
Spain,Europe,1979,75.12,37200014,13589.12071
Spain,Europe,1980,75.6,37488360,13790.56055
Spain,Europe,1981,75.74,37750800,13765.38889
Spain,Europe,1982,76.3,37983310,13926.16997
Spain,Europe,1983,76.08,38184166,14203.10524
Spain,Europe,1984,76.46,38362861,14342.73031
Spain,Europe,1985,76.42,38534853,14568.70667
Spain,Europe,1986,76.67,38707556,14982.64885
Spain,Europe,1987,76.9,38880702,15764.98313
Spain,Europe,1988,76.91,39053881,16553.14424
Spain,Europe,1989,76.98,39214523,17355.7471
Spain,Europe,1990,76.99,39350769,18064.9166
Spain,Europe,1991,77.12,39461418,18472.90556
Spain,Europe,1992,77.57,39549438,18603.06452
Spain,Europe,1993,77.7,39627587,18374.86563
Spain,Europe,1994,78.05,39690971,18782.73427
Spain,Europe,1995,78.12,39749715,19272.14422
Spain,Europe,1996,78.26,39803829,19709.87114
Spain,Europe,1997,78.77,39855442,20445.29896
Spain,Europe,1998,78.85,39906235,21333.94306
Spain,Europe,1999,78.86,39953263,22286.3637
Spain,Europe,2000,79.34,40016081,23410.16483
Spain,Europe,2001,79.69,40087104,24221.7998
Spain,Europe,2002,79.78,40152517,24835.47166
Spain,Europe,2003,79.72,40217413,25564.28953
Spain,Europe,2004,80.28,40280780,26357.04829
Spain,Europe,2005,80.28,40341462,27270
Spain,Europe,2006,80.94,40397842,28006.12139
Spain,Europe,2007,80.941,40448191,28821.0637
