country,continent,year,lifeExp,pop,gdpPercap
Switzerland,Europe,1950,68.94,4694000,13867.60715
Switzerland,Europe,1951,68.71,4749000,14816.89924
Switzerland,Europe,1952,69.62,4815000,14734.23275
Switzerland,Europe,1953,69.53,4878000,15055.82564
Switzerland,Europe,1954,70,4929000,15739.39579
Switzerland,Europe,1955,70.08,4980000,16626.4855
Switzerland,Europe,1956,70.21,5045000,17501.93196
Switzerland,Europe,1957,70.56,5126000,17909.48973
Switzerland,Europe,1958,71.3,5199000,17284.27073
Switzerland,Europe,1959,71.46,5259000,18161.48966
Switzerland,Europe,1960,71.44,5362000,19059.00518
Switzerland,Europe,1961,71.76,5512000,20041.21634
Switzerland,Europe,1962,71.32,5666000,20431.0927
Switzerland,Europe,1963,71.31,5789000,20977.26759
Switzerland,Europe,1964,72.2,5887000,21712.09454
Switzerland,Europe,1965,72.33,5943000,22190.77302
Switzerland,Europe,1966,72.47,5996000,22533.03847
Switzerland,Europe,1967,72.77,6063000,22966.14432
Switzerland,Europe,1968,72.72,6132000,23522.13088
Switzerland,Europe,1969,72.73,6212000,24527.55211
Switzerland,Europe,1970,73.14,6267000,25862.8192
Switzerland,Europe,1971,73.26,6343293,26593.26926
Switzerland,Europe,1972,73.78,6401400,27195.11304
Switzerland,Europe,1973,74.08,6441100,27851.75724
Switzerland,Europe,1974,74.43,6460000,28174.32841
Switzerland,Europe,1975,74.82,6403500,26353.03028
Switzerland,Europe,1976,74.94,6333313,26270.86866
Switzerland,Europe,1977,75.39,6316424,26982.29052
Switzerland,Europe,1978,75.34,6332568,27023.43582
Switzerland,Europe,1979,75.64,6350840,27617.11846
Switzerland,Europe,1980,75.64,6385229,28732.36608
Switzerland,Europe,1981,75.87,6425450,29003.26953
Switzerland,Europe,1982,76.21,6468126,28397.71512
Switzerland,Europe,1983,76.22,6501073,28396.88917
Switzerland,Europe,1984,76.82,6529684,29128.18896
Switzerland,Europe,1985,76.94,6563770,29967.6008
Switzerland,Europe,1986,77.11,6603192,30273.42434
Switzerland,Europe,1987,77.41,6649942,30281.70459
Switzerland,Europe,1988,77.43,6704112,30971.58824
Switzerland,Europe,1989,77.63,6763653,32031.32878
Switzerland,Europe,1990,77.44,6836626,32875.77966
Switzerland,Europe,1991,77.72,6920562,32207.74413
Switzerland,Europe,1992,78.03,6995447,31871.5303
Switzerland,Europe,1993,78.32,7058211,31515.65427
Switzerland,Europe,1994,78.61,7114530,31599.61928
Switzerland,Europe,1995,78.68,7157106,31530.76934
Switzerland,Europe,1996,79.17,7181024,31589.72381
Switzerland,Europe,1997,79.37,7193761,32135.32301
Switzerland,Europe,1998,79.62,7207995,33039.50454
Switzerland,Europe,1999,79.88,7232809,33349.65383
Switzerland,Europe,2000,79.99,7266920,34386.90248
Switzerland,Europe,2001,80.41,7311237,34569.38136
Switzerland,Europe,2002,80.62,7361757,34480.95771
Switzerland,Europe,2003,80.72,7408319,34183.28306
Switzerland,Europe,2004,81.28,7450867,34864.09237
Switzerland,Europe,2005,81.44,7489370,35520
Switzerland,Europe,2006,81.74,7523934,36523.09834
Switzerland,Europe,2007,81.701,7554661,37506.41907
