country,continent,year,lifeExp,pop,gdpPercap
Belarus,FSU,1973,72.71,9236465,4958.608124
Belarus,FSU,1990,71.15,10215208,6807.781057
Belarus,FSU,1991,70.58,10244639,6693.1884
Belarus,FSU,1992,70.17,10306362,6014.406075
Belarus,FSU,1993,69.05,10360516,5528.263371
Belarus,FSU,1994,68.82,10387841,4868.615987
Belarus,FSU,1995,68.43,10403989,4355.509243
Belarus,FSU,1996,68.56,10408773,4475.405604
Belarus,FSU,1997,68.37,10404210,4987.788391
Belarus,FSU,1998,68.38,10394407,5411.861751
Belarus,FSU,1999,67.97,10382370,5602.352725
Belarus,FSU,2000,69,10366719,5936.237819
Belarus,FSU,2001,68.6,10350194,6225.164179
Belarus,FSU,2002,68.16,10335382,6545.789965
Belarus,FSU,2003,68.7,10322151,6999.864668
Belarus,FSU,2004,69.1,10310520,7806.724446
Belarus,FSU,2005,68.87,10300483,8541
Belarus,FSU,2007,69.027,10289007,10273.77418
