country,continent,year,lifeExp,pop,gdpPercap
Latvia,FSU,1965,71.2,2253604,4078.828307
Latvia,FSU,1966,71.16,2278721,4110.991504
Latvia,FSU,1967,70.82,2301371,4444.343948
Latvia,FSU,1968,70.46,2322031,4596.577322
Latvia,FSU,1969,70.2,2341871,4651.532907
Latvia,FSU,1970,70.22,2361159,5470.687438
Latvia,FSU,1971,70.57,2381641,5845.609237
Latvia,FSU,1972,70.25,2401244,6095.312282
Latvia,FSU,1973,70.2,2421355,6395.096187
Latvia,FSU,1974,70.11,2442473,6651.164666
Latvia,FSU,1975,69.28,2461606,7050.027426
Latvia,FSU,1976,69.41,2476760,7350.82488
Latvia,FSU,1977,69.45,2491407,7488.923552
Latvia,FSU,1978,69.35,2504508,7635.76512
Latvia,FSU,1979,68.87,2514167,8000.758563
Latvia,FSU,1980,69.19,2524543,8278.288323
Latvia,FSU,1981,69.13,2536976,8578.012786
Latvia,FSU,1982,69.71,2552229,8728.455352
Latvia,FSU,1983,69.47,2569826,9127.299087
Latvia,FSU,1984,69.51,2587996,9596.890615
Latvia,FSU,1985,69.63,2606405,9502.493873
Latvia,FSU,1986,71.01,2626695,9893.284982
Latvia,FSU,1987,71.05,2648965,10063.52646
Latvia,FSU,1988,70.99,2664068,10512.99302
Latvia,FSU,1989,70.46,2667309,11044.47612
Latvia,FSU,1990,69.51,2663590,10217.78407
Latvia,FSU,1991,69.24,2651308,8960.019583
Latvia,FSU,1992,68.57,2615869,6151.514963
Latvia,FSU,1993,66.78,2565708,5948.957499
Latvia,FSU,1994,65.53,2523532,6169.897953
Latvia,FSU,1995,66.33,2488008,6191.799537
Latvia,FSU,1996,68.93,2460277,6488.442082
Latvia,FSU,1997,69.56,2435967,7143.441635
Latvia,FSU,1998,69.2,2413173,7604.973664
Latvia,FSU,1999,69.99,2393657,8028.968025
Latvia,FSU,2000,70.56,2376178,8649.224406
Latvia,FSU,2001,70.32,2358232,9396.422979
Latvia,FSU,2002,70.68,2340205,10094.47045
Latvia,FSU,2003,71.17,2322943,10879.76673
Latvia,FSU,2004,71.51,2306306,11888.05426
Latvia,FSU,2005,71.25,2290237,13218
Latvia,FSU,2007,72.674,2259810,16539.4535
