country,continent,year,lifeExp,pop,gdpPercap
Lithuania,FSU,1973,71.61,3245551,11523.45902
Lithuania,FSU,1990,71.37,3694836,13148.25839
Lithuania,FSU,1991,70.54,3702136,12374.35926
Lithuania,FSU,1992,70.4,3700278,9743.510738
Lithuania,FSU,1993,69.01,3689004,8190.015322
Lithuania,FSU,1994,68.58,3679636,7406.201416
Lithuania,FSU,1995,69.02,3673577,7804.174479
Lithuania,FSU,1996,70.14,3668316,8182.689266
Lithuania,FSU,1997,70.98,3664372,8764.901122
Lithuania,FSU,1998,71.31,3661168,9412.969278
Lithuania,FSU,1999,71.69,3658454,9259.81304
Lithuania,FSU,2000,72.14,3654387,9631.652985
Lithuania,FSU,2001,71.74,3645747,10272.36554
Lithuania,FSU,2002,71.93,3633232,11008.67662
Lithuania,FSU,2003,72.18,3620094,12120.3462
Lithuania,FSU,2004,72.14,3607899,13049.47815
Lithuania,FSU,2005,71.56,3596617,14085
Lithuania,FSU,2007,72.962,3575439,16666.50874
