country,continent,year,lifeExp,pop,gdpPercap
New Zealand,Oceania,1950,69.29,1908310,11449.3763
New Zealand,Oceania,1951,69.16,1947389,10362.9881
New Zealand,Oceania,1952,69.39,1994794,10556.57566
New Zealand,Oceania,1953,70.24,2047391,10637.22008
New Zealand,Oceania,1954,70.35,2092779,11839.00284
New Zealand,Oceania,1955,70.48,2136168,11814.683
New Zealand,Oceania,1956,70.74,2178289,12186.70276
New Zealand,Oceania,1957,70.26,2229407,12247.39532
New Zealand,Oceania,1958,70.89,2281533,12437.61842
New Zealand,Oceania,1959,70.8,2331122,13039.678
New Zealand,Oceania,1960,71.26,2371746,12816.33036
New Zealand,Oceania,1961,70.98,2432450,13195.09699
New Zealand,Oceania,1962,71.24,2488550,13175.678
New Zealand,Oceania,1963,71.31,2541350,13719.2622
New Zealand,Oceania,1964,71.35,2591950,14107.05469
New Zealand,Oceania,1965,71.28,2640400,14730.24819
New Zealand,Oceania,1966,71.14,2687550,15384.75074
New Zealand,Oceania,1967,71.52,2728150,14463.91893
New Zealand,Oceania,1968,71.18,2759000,14279.12289
New Zealand,Oceania,1969,71.55,2788500,15586.75554
New Zealand,Oceania,1970,71.33,2828050,15150.92549
New Zealand,Oceania,1971,71.78,2875300,15674.73716
New Zealand,Oceania,1972,71.89,2929100,16046.03728
New Zealand,Oceania,1973,71.75,2992300,16823.02457
New Zealand,Oceania,1974,72,3058400,17439.20031
New Zealand,Oceania,1975,72.27,3117800,16910.21404
New Zealand,Oceania,1976,72.47,3153550,17126.41732
New Zealand,Oceania,1977,72.22,3164900,16233.7177
New Zealand,Oceania,1978,73.11,3165800,16294.54258
New Zealand,Oceania,1979,73.15,3164550,16633.4424
New Zealand,Oceania,1980,72.95,3170150,16718.10218
New Zealand,Oceania,1981,73.74,3185450,17445.44339
New Zealand,Oceania,1982,73.84,3210650,17632.4104
New Zealand,Oceania,1983,73.94,3245800,17919.5392
New Zealand,Oceania,1984,74.49,3278900,18612.87789
New Zealand,Oceania,1985,73.99,3298050,18647.67814
New Zealand,Oceania,1986,74.24,3308300,18979.54569
New Zealand,Oceania,1987,74.32,3317166,19007.19129
New Zealand,Oceania,1988,74.6,3331205,18874.65232
New Zealand,Oceania,1989,75.01,3341632,18983.91778
New Zealand,Oceania,1990,75.56,3359604,18833.59677
New Zealand,Oceania,1991,76.2,3396964,18380.78411
New Zealand,Oceania,1992,76.33,3437674,18363.32494
New Zealand,Oceania,1993,76.62,3475061,19337.1909
New Zealand,Oceania,1994,77.07,3517261,20116.22892
New Zealand,Oceania,1995,76.94,3565990,20661.47565
New Zealand,Oceania,1996,76.98,3621200,21064.06604
New Zealand,Oceania,1997,77.55,3676187,21050.41377
New Zealand,Oceania,1998,78.37,3726214,20876.10874
New Zealand,Oceania,1999,78.14,3774096,21689.0128
New Zealand,Oceania,2000,78.9,3819762,21895.15598
New Zealand,Oceania,2001,78.91,3864129,22426.58919
New Zealand,Oceania,2002,79.11,3908037,23189.80135
New Zealand,Oceania,2003,79.41,3951307,23728.4829
New Zealand,Oceania,2007,80.204,4115771,25185.00911
