country,continent,year,lifeExp,pop,gdpPercap
Papua New Guinea,Oceania,1962,49.69,1837378,1219.99664
Papua New Guinea,Oceania,1967,49.981,2102625,1511.981089
Papua New Guinea,Oceania,1972,42.522,2416549,1898.542817
Papua New Guinea,Oceania,1977,49.253,2753462,1791.430017
Papua New Guinea,Oceania,1982,52.46,3139596,1722.782537
Papua New Guinea,Oceania,1987,53.383,3548932,1742.4451
Papua New Guinea,Oceania,1992,55.186,4024135,1880.960637
Papua New Guinea,Oceania,1997,56.153,4571004,2064.012896
Papua New Guinea,Oceania,2002,56.651,5172033,1727.292022
Papua New Guinea,Oceania,2007,57.229,5795887,1827.096606
