country,continent,year,lifeExp,pop,gdpPercap
Cape Verde,Africa,1952,48.48,155037,594.7341659
Cape Verde,Africa,1957,50.98,179516,583.6337743
Cape Verde,Africa,1962,52.98,209878,695.8088512
Cape Verde,Africa,1967,55.48,246787,765.8281051
Cape Verde,Africa,1972,57.48,275392,691.5225913
Cape Verde,Africa,1977,59.98,285691,667.7823441
Cape Verde,Africa,1982,61.766,304586,1181.352308
Cape Verde,Africa,1987,64.078,330779,1481.038343
Cape Verde,Africa,1997,68.646,388383,1902.832452
Cape Verde,Africa,2002,70.203,408760,2505.291423
Cape Verde,Africa,2007,71.677,423613,3205.479398
