country,continent,year,lifeExp,pop,gdpPercap
Bahamas,Americas,1962,64.209,122902,15117.51505
Bahamas,Americas,1967,65.795,151120,19318.1061
Bahamas,Americas,1972,66.515,178332,18152.43763
Bahamas,Americas,1977,67.199,197499,14380.66603
Bahamas,Americas,1982,67.874,219682,20433.0368
Bahamas,Americas,1987,69.524,244042,22438.01353
Bahamas,Americas,1992,69.171,264085,19432.56931
Bahamas,Americas,1997,68.472,281577,20990.83247
Bahamas,Americas,2002,71.068,295131,22810.96126
Bahamas,Americas,2007,73.495,305655,23948.63751
