country,continent,year,lifeExp,pop,gdpPercap
Belize,Americas,1950,57.673,65797,1731.132728
Belize,Americas,1962,62.678,97594,1916.319613
Belize,Americas,1967,65.184,113265,2099.158522
Belize,Americas,1972,67.589,127661,2616.696579
Belize,Americas,1977,69.747,140578,3158.688003
Belize,Americas,1982,71.031,153277,3732.094919
Belize,Americas,1987,71.879,176347,3844.931896
Belize,Americas,1992,72.522,200798,5780.689094
Belize,Americas,1997,74.405,228884,5631.50107
Belize,Americas,2002,75.586,261138,6799.541995
Belize,Americas,2007,76.121,294385,7550.225543
