country,continent,year,lifeExp,pop,gdpPercap
Canada,Americas,1950,68.28,14011422,10581.26552
Canada,Americas,1951,68.55,14330675,10932.46678
Canada,Americas,1952,68.75,14785584,11367.16112
Canada,Americas,1953,69.13,15183375,11586.61455
Canada,Americas,1954,69.99,15636245,11173.2595
Canada,Americas,1955,70.05,16050356,11901.50949
Canada,Americas,1956,70.04,16445087,12555.54947
Canada,Americas,1957,69.96,17010154,12489.95006
Canada,Americas,1958,70.62,17462004,12384.41018
Canada,Americas,1959,70.66,17872034,12590.80033
Canada,Americas,1960,71.04,18266765,12701.48312
Canada,Americas,1961,71.27,18634977,12817.92217
Canada,Americas,1962,71.3,18985849,13462.48555
Canada,Americas,1963,71.31,19342841,13882.56266
Canada,Americas,1964,71.69,19711053,14510.89933
Canada,Americas,1965,71.79,20071104,15198.11009
Canada,Americas,1966,71.92,20448496,15884.83624
Canada,Americas,1967,72.13,20819767,16076.58803
Canada,Americas,1968,72.29,21143100,16658.21328
Canada,Americas,1969,72.45,21448073,17286.99329
Canada,Americas,1970,72.65,21749986,17487.45713
Canada,Americas,1971,72.98,22026400,18229.64274
Canada,Americas,1972,72.88,22284500,18970.57086
Canada,Americas,1973,73.11,22559500,20081.30717
Canada,Americas,1974,73.19,22874700,20613.59162
Canada,Americas,1975,73.49,23209200,20775.50508
Canada,Americas,1976,73.92,23517500,21626.08551
Canada,Americas,1977,74.21,23796400,22090.88306
Canada,Americas,1978,74.54,24036300,22754.82739
Canada,Americas,1979,74.9,24276900,23465.82672
Canada,Americas,1980,75.14,24593300,23473.89691
Canada,Americas,1981,75.55,24900000,23904.52565
Canada,Americas,1982,75.76,25201900,22898.79214
Canada,Americas,1983,76.13,25456300,23329.80455
Canada,Americas,1984,76.43,25701800,24431.84887
Canada,Americas,1985,76.41,25941600,25514.7852
Canada,Americas,1986,76.56,26203800,25921.16702
Canada,Americas,1987,76.86,26549700,26626.51503
Canada,Americas,1988,76.94,26894800,27562.41454
Canada,Americas,1989,77.2,27379300,27729.89597
Canada,Americas,1990,77.51,27790600,27387.27394
Canada,Americas,1991,77.69,28117600,26491.59562
Canada,Americas,1992,77.95,28523502,26342.88426
Canada,Americas,1993,77.83,28920644,26590.39937
Canada,Americas,1994,78.02,29262472,27543.90811
Canada,Americas,1995,78.14,29619002,27969.67291
Canada,Americas,1996,78.4,29983162,28074.83649
Canada,Americas,1997,78.61,30305843,28954.92589
Canada,Americas,1998,78.83,30628924,29837.45806
Canada,Americas,1999,79.06,30957019,31154.85646
Canada,Americas,2000,79.42,31278097,32448.60764
Canada,Americas,2001,79.65,31592805,32570.56646
Canada,Americas,2002,79.77,31902268,33328.96507
Canada,Americas,2003,79.95,32207113,33635.25438
Canada,Americas,2004,80.25,32507874,34346.96551
Canada,Americas,2005,80.36,32805041,35078
Canada,Americas,2007,80.653,33390141,36319.23501
