country,continent,year,lifeExp,pop,gdpPercap
United States,Americas,1950,68.12,152271000,12922.2343
United States,Americas,1951,68.22,154878000,13702.42575
United States,Americas,1952,68.44,157553000,13990.48208
United States,Americas,1953,68.79,160184000,14398.56122
United States,Americas,1954,69.58,163026000,14045.22052
United States,Americas,1955,69.63,165931000,14797.65083
United States,Americas,1956,69.71,168903000,14820.1462
United States,Americas,1957,69.49,171984000,14847.12712
United States,Americas,1958,69.76,174882000,14455.69662
United States,Americas,1959,69.98,177830000,15239.98472
United States,Americas,1960,69.91,180671000,15374.01822
United States,Americas,1961,70.32,183691000,15474.78009
United States,Americas,1962,70.21,186538000,16173.14586
United States,Americas,1963,70.04,189242000,16646.2579
United States,Americas,1964,70.33,191889000,17380.43484
United States,Americas,1965,70.41,194303000,18277.61585
United States,Americas,1966,70.43,196560000,19256.78588
United States,Americas,1967,70.76,198712000,19530.36557
United States,Americas,1968,70.42,200706000,20276.3506
United States,Americas,1969,70.66,202677000,20702.82807
United States,Americas,1970,70.92,205052000,20495.85297
United States,Americas,1971,71.24,207661000,20923.74366
United States,Americas,1972,71.34,209896000,21806.03594
United States,Americas,1973,71.54,211909000,22853.17141
United States,Americas,1974,72.08,213854000,22528.17694
United States,Americas,1975,72.68,215973000,22261.43424
United States,Americas,1976,72.99,218035000,23235.06147
United States,Americas,1977,73.38,220239000,24072.63213
United States,Americas,1978,73.58,222585000,25156.36866
United States,Americas,1979,74.03,225055000,25672.01176
United States,Americas,1980,73.93,227726463,25366.02267
United States,Americas,1981,74.36,229966237,25755.07922
United States,Americas,1982,74.65,232187835,25009.55914
United States,Americas,1983,74.71,234307207,25910.13179
United States,Americas,1984,74.82,236348292,27547.10387
United States,Americas,1985,74.79,238466283,28439.71118
United States,Americas,1986,74.87,240650755,29161.68646
United States,Americas,1987,75.02,242803533,29884.35041
United States,Americas,1988,75.03,245021414,30846.86533
United States,Americas,1989,75.32,247341697,31646.40825
United States,Americas,1990,75.61,250131894,31880.95862
United States,Americas,1991,75.81,253492503,31398.40261
United States,Americas,1992,76.09,256894189,32003.93224
United States,Americas,1993,75.84,260255352,32434.29902
United States,Americas,1994,76.02,263435673,33338.14347
United States,Americas,1995,76.11,266557091,33773.3237
United States,Americas,1996,76.46,269667391,34628.08345
United States,Americas,1997,76.81,272911760,35767.43303
United States,Americas,1998,76.98,276115288,36839.82007
United States,Americas,1999,76.97,279294713,38053.7171
United States,Americas,2000,77.13,282338631,39025.86282
United States,Americas,2001,77.25,285023886,38891.10952
United States,Americas,2002,77.31,287675526,39097.09955
United States,Americas,2003,77.47,290342554,39747.3764
United States,Americas,2004,77.88,293027571,40804.33426
United States,Americas,2005,77.89,295734134,41674
United States,Americas,2007,78.242,301139947,42951.65309
