country,continent,year,lifeExp,pop,gdpPercap
Belgium,Europe,1950,66.35,8639369,7990.46584
Belgium,Europe,1951,66.8,8678386,8393.415992
Belgium,Europe,1952,68,8730405,8343.105127
Belgium,Europe,1953,68.37,8777873,8645.372292
Belgium,Europe,1954,68.63,8819380,8950.306725
Belgium,Europe,1955,68.58,8868475,9244.72546
Belgium,Europe,1956,68.87,8923845,9529.403593
Belgium,Europe,1957,69.24,8989111,9714.960623
Belgium,Europe,1958,69.93,9052707,9477.273558
Belgium,Europe,1959,70.33,9103729,9675.467689
Belgium,Europe,1960,69.65,9118700,10076.60249
Belgium,Europe,1961,70.52,9165800,10512.5111
Belgium,Europe,1962,70.25,9218400,10991.20676
Belgium,Europe,1963,70.06,9283100,11396.12839
Belgium,Europe,1964,70.73,9367000,12089.40942
Belgium,Europe,1965,70.58,9448100,12406.28806
Belgium,Europe,1966,70.65,9507800,12720.17707
Belgium,Europe,1967,70.94,9556500,13149.04119
Belgium,Europe,1968,70.63,9589800,13647.19609
Belgium,Europe,1969,70.71,9612700,14520.74226
Belgium,Europe,1970,70.97,9637800,15379.70523
Belgium,Europe,1971,71.1,9672500,15899.65951
Belgium,Europe,1972,71.44,9709100,16672.14356
Belgium,Europe,1973,71.65,9738400,17639.58142
Belgium,Europe,1974,72.01,9767800,18325.1694
Belgium,Europe,1975,72,9794800,18032.1155
Belgium,Europe,1976,72.15,9811000,19019.94462
Belgium,Europe,1977,72.8,9821800,19117.97448
Belgium,Europe,1978,72.75,9829700,19645.53784
Belgium,Europe,1979,73.24,9837200,20090.12043
Belgium,Europe,1980,73.29,9846800,20969.62311
Belgium,Europe,1981,73.7,9852400,20696.13378
Belgium,Europe,1982,73.93,9856303,20979.84589
Belgium,Europe,1983,73.93,9855520,20979.01253
Belgium,Europe,1984,74.43,9855300,21498.93801
Belgium,Europe,1985,74.54,9858200,21708.74541
Belgium,Europe,1986,74.74,9861800,22024.75308
Belgium,Europe,1987,75.35,9870200,22525.56308
Belgium,Europe,1988,75.66,9884000,23555.8201
Belgium,Europe,1989,75.73,9937697,24269.23182
Belgium,Europe,1990,76.14,9969310,24925.91
Belgium,Europe,1991,76.3,10004487,25293.57135
Belgium,Europe,1992,76.46,10045622,25575.57069
Belgium,Europe,1993,76.48,10085426,25229.59834
Belgium,Europe,1994,76.82,10122914,25947.30294
Belgium,Europe,1995,76.97,10155459,26480.94732
Belgium,Europe,1996,77.31,10178934,26725.49837
Belgium,Europe,1997,77.53,10199787,27561.19663
Belgium,Europe,1998,77.62,10217030,28030.61314
Belgium,Europe,1999,77.8,10235655,28937.1514
Belgium,Europe,2000,77.91,10263618,29940.2047
Belgium,Europe,2001,78.22,10291679,30092.07613
Belgium,Europe,2002,78.32,10311970,30485.88375
Belgium,Europe,2003,78.47,10330824,30736.5256
Belgium,Europe,2004,79.11,10348276,31600.01699
Belgium,Europe,2005,79.2,10364388,32077
Belgium,Europe,2007,79.441,10392226,33692.60508
