country,continent,year,lifeExp,pop,gdpPercap
Estonia,Europe,1973,70.7,1410836,8313.114403
Estonia,Europe,1990,69.9,1569322,10389.81937
Estonia,Europe,1991,69.8,1559547,9409.44704
Estonia,Europe,1992,69.14,1528715,8245.731835
Estonia,Europe,1993,68.2,1491426,7733.482692
Estonia,Europe,1994,66.66,1467535,7733.631213
Estonia,Europe,1995,67.72,1446509,8199.116863
Estonia,Europe,1996,69.94,1427827,8680.183712
Estonia,Europe,1997,70.13,1413351,9689.843315
Estonia,Europe,1998,69.72,1400972,10283.78692
Estonia,Europe,1999,70.49,1389756,10356.41525
Estonia,Europe,2000,70.78,1379835,11244.48624
Estonia,Europe,2001,70.65,1369983,12050.17139
Estonia,Europe,2002,71.21,1360122,13011.43876
Estonia,Europe,2003,71.81,1350722,13770.18991
Estonia,Europe,2004,72.29,1341664,15014.21701
Estonia,Europe,2005,72.96,1332893,16654
Estonia,Europe,2007,71.37,1315912,19967.40265
