country,continent,year,lifeExp,pop,gdpPercap
Hungary,Europe,1950,62.07,9338000,4726.19128
Hungary,Europe,1951,62.46,9423000,5135.947955
Hungary,Europe,1952,64.03,9504000,5263.673816
Hungary,Europe,1953,63.87,9595000,5308.48868
Hungary,Europe,1954,65.43,9706000,5431.85557
Hungary,Europe,1955,66.88,9825000,5850.989
Hungary,Europe,1956,66.04,9911000,5537.722375
Hungary,Europe,1957,66.41,9839000,6040.180011
Hungary,Europe,1958,67.42,9882000,6416.726703
Hungary,Europe,1959,67.32,9937000,6639.866073
Hungary,Europe,1960,68.09,9983512,6954.291576
Hungary,Europe,1961,69.02,10029000,7272.793578
Hungary,Europe,1962,67.96,10063000,7550.359877
Hungary,Europe,1963,68.98,10091000,7942.533059
Hungary,Europe,1964,69.48,10124000,8362.477399
Hungary,Europe,1965,69.17,10152934,8403.477994
Hungary,Europe,1966,69.93,10184561,8854.418758
Hungary,Europe,1967,69.5,10223422,9326.64467
Hungary,Europe,1968,69.33,10263542,9403.183999
Hungary,Europe,1969,69.4,10302814,9647.235758
Hungary,Europe,1970,69.24,10337004,9581.972224
Hungary,Europe,1971,69.13,10364869,9982.612568
Hungary,Europe,1972,69.76,10394091,10168.65611
Hungary,Europe,1973,69.63,10425984,10663.66869
Hungary,Europe,1974,69.35,10471272,10892.94031
Hungary,Europe,1975,69.4,10531820,11062.45819
Hungary,Europe,1976,69.69,10588729,11035.56516
Hungary,Europe,1977,69.95,10637171,11674.83737
Hungary,Europe,1978,69.49,10673300,11917.24411
Hungary,Europe,1979,69.7,10698234,11912.90808
Hungary,Europe,1980,69.11,10711122,12018.55475
Hungary,Europe,1981,69.17,10711848,12102.59883
Hungary,Europe,1982,69.39,10705535,12545.99066
Hungary,Europe,1983,68.95,10689463,12435.83335
Hungary,Europe,1984,68.99,10668095,12786.878
Hungary,Europe,1985,68.93,10648713,12495.19625
Hungary,Europe,1986,69.13,10630563,12767.15527
Hungary,Europe,1987,69.58,10612740,12986.47998
Hungary,Europe,1988,69.96,10442500,13399.3031
Hungary,Europe,1989,69.41,10397959,13155.25136
Hungary,Europe,1990,69.39,10371878,12308.90783
Hungary,Europe,1991,69.45,10364737,10851.83045
Hungary,Europe,1992,69.17,10348684,10535.62855
Hungary,Europe,1993,69.17,10329012,10494.88175
Hungary,Europe,1994,69.61,10312714,10821.25689
Hungary,Europe,1995,70.01,10295874,11000.40519
Hungary,Europe,1996,70.59,10273591,11169.78598
Hungary,Europe,1997,71.04,10244684,11712.7768
Hungary,Europe,1998,70.97,10211127,12319.40798
Hungary,Europe,1999,71.1,10172673,12874.41924
Hungary,Europe,2000,71.83,10137449,13592.35087
Hungary,Europe,2001,72.47,10109467,14185.5176
Hungary,Europe,2002,72.59,10083313,14843.93556
Hungary,Europe,2003,72.61,10057745,15506.20095
Hungary,Europe,2004,73.01,10032375,16291.19795
Hungary,Europe,2005,72.97,10006835,17014
Hungary,Europe,2007,73.338,9956108,18008.94444
