country,continent,year,lifeExp,pop,gdpPercap
Iceland,Europe,1950,71.01,142938,7750.291535
Iceland,Europe,1951,71.05,145604,7468.805837
Iceland,Europe,1952,72.49,147962,7267.688428
Iceland,Europe,1953,72.31,151036,8211.292176
Iceland,Europe,1954,73.36,154563,8800.722567
Iceland,Europe,1955,73.3,158044,9458.671799
Iceland,Europe,1956,72.98,161358,9489.0241
Iceland,Europe,1957,73.47,165110,9244.001412
Iceland,Europe,1958,73.43,168771,9789.869797
Iceland,Europe,1959,72.66,172314,9768.93049
Iceland,Europe,1960,74.09,175860,9890.0665
Iceland,Europe,1961,73.47,178905,9724.49065
Iceland,Europe,1962,73.68,182053,10350.15906
Iceland,Europe,1963,72.98,185481,11221.63427
Iceland,Europe,1964,73.57,188847,12133.87365
Iceland,Europe,1965,73.84,192288,12794.8827
Iceland,Europe,1966,73.23,195610,13701.27415
Iceland,Europe,1967,73.73,198676,13319.89568
Iceland,Europe,1968,73.94,201245,12441.43872
Iceland,Europe,1969,73.71,202920,12659.10905
Iceland,Europe,1970,73.81,204104,13532.83678
Iceland,Europe,1971,73.55,206092,15128.82588
Iceland,Europe,1972,74.46,209275,15798.06362
Iceland,Europe,1973,74.31,212364,16670.02132
Iceland,Europe,1974,74.37,215324,17375.5854
Iceland,Europe,1975,75.35,218031,17297.44397
Iceland,Europe,1976,76.71,220133,18179.25077
Iceland,Europe,1977,76.11,221823,19654.96247
Iceland,Europe,1978,76.42,223587,20649.68327
Iceland,Europe,1979,76.63,225749,21453.7783
Iceland,Europe,1980,76.66,228161,22434.85748
Iceland,Europe,1981,76.35,230803,23121.40777
Iceland,Europe,1982,76.99,233997,23269.6075
Iceland,Europe,1983,76.63,237041,22499.89615
Iceland,Europe,1984,77.43,239498,23215.83465
Iceland,Europe,1985,77.56,241403,23821.70912
Iceland,Europe,1986,78.09,242999,25107.72219
Iceland,Europe,1987,77.23,244676,26923.20628
Iceland,Europe,1988,77.08,249885,26435.22394
Iceland,Europe,1989,78.15,252746,26317.46255
Iceland,Europe,1990,77.98,254719,26372.87842
Iceland,Europe,1991,77.94,256831,26332.62091
Iceland,Europe,1992,78.77,259012,25144.39201
Iceland,Europe,1993,78.98,261270,25030.85874
Iceland,Europe,1994,79.24,266075,25941.5378
Iceland,Europe,1995,78.05,267527,25840.48851
Iceland,Europe,1996,78.84,269000,27027.25401
Iceland,Europe,1997,78.95,271192,28061.09966
Iceland,Europe,1998,79.67,274000,29256.69932
Iceland,Europe,1999,79.46,277280,30042.93674
Iceland,Europe,2000,79.72,281043,31092.02544
Iceland,Europe,2001,80.64,284812,31830.54252
Iceland,Europe,2002,80.5,288030,31163.20196
Iceland,Europe,2003,81.06,291064,31937.00631
Iceland,Europe,2004,80.95,293966,34279.1786
Iceland,Europe,2005,81.43,296737,35630
Iceland,Europe,2006,81.12,299388,36233.27382
Iceland,Europe,2007,81.757,301931,36180.78919
