country,continent,year,lifeExp,pop,gdpPercap
Italy,Europe,1950,65.77,47105000,4461.067193
Italy,Europe,1951,65.31,47418000,4719.636757
Italy,Europe,1952,65.94,47666000,4931.404155
Italy,Europe,1953,66.58,47957000,5222.079917
Italy,Europe,1954,67.9,48299000,5436.140736
Italy,Europe,1955,68.25,48633000,5733.705071
Italy,Europe,1956,67.64,48921000,5958.252391
Italy,Europe,1957,67.81,49182000,6248.656232
Italy,Europe,1958,68.87,49476000,6518.368168
Italy,Europe,1959,69.32,49832000,6885.772019
Italy,Europe,1960,69.21,50197600,7314.830776
Italy,Europe,1961,69.85,50523200,7820.210212
Italy,Europe,1962,69.24,50843200,8243.58234
Italy,Europe,1963,69.35,51198300,8636.90716
Italy,Europe,1964,70.4,51600200,8821.596841
Italy,Europe,1965,70.27,51987100,9011.540421
Italy,Europe,1966,71.02,52331600,9503.610165
Italy,Europe,1967,71.06,52667100,10022.40131
Italy,Europe,1968,70.88,52986600,10694.07481
Italy,Europe,1969,70.9,53317000,11274.39824
Italy,Europe,1970,71.66,53661100,11788.23346
Italy,Europe,1971,71.91,54005500,11939.21503
Italy,Europe,1972,72.19,54365564,12269.27378
Italy,Europe,1973,72.13,54796843,13133.74758
Italy,Europe,1974,72.85,55226259,13614.98029
Italy,Europe,1975,72.76,55571894,13160.78533
Italy,Europe,1976,73.11,55838536,14021.92932
Italy,Europe,1977,73.48,56059245,14255.98475
Italy,Europe,1978,73.83,56240143,14831.3966
Italy,Europe,1979,74.16,56367710,15712.13998
Italy,Europe,1980,74.12,56451247,16201.88298
Italy,Europe,1981,74.51,56502489,16362.80286
Italy,Europe,1982,74.98,56535636,16537.4835
Italy,Europe,1983,74.8,56630129,16717.44341
Italy,Europe,1984,75.56,56696963,17530.69389
Italy,Europe,1985,75.67,56731215,18078.9509
Italy,Europe,1986,76,56733833,18479.36644
Italy,Europe,1987,76.42,56729703,19207.23482
Italy,Europe,1988,76.6,56734027,20293.85091
Italy,Europe,1989,77,56737529,21166.47838
Italy,Europe,1990,77.06,56742886,21561.42044
Italy,Europe,1991,77.07,56747462,21755.39858
Italy,Europe,1992,77.44,56840847,22013.64486
Italy,Europe,1993,77.72,57026746,21826.21878
Italy,Europe,1994,77.94,57179460,22471.2282
Italy,Europe,1995,78.19,57274531,23680.30912
Italy,Europe,1996,78.51,57367032,23897.55367
Italy,Europe,1997,78.82,57479469,24675.02446
Italy,Europe,1998,78.92,57550318,25409.99448
Italy,Europe,1999,79.31,57603634,26128.82464
Italy,Europe,2000,79.72,57719337,27160.46843
Italy,Europe,2001,80,57844924,27779.73034
Italy,Europe,2002,80.24,57926999,27968.09817
Italy,Europe,2003,80.32,57998353,27839.64196
Italy,Europe,2004,81.18,58057477,27887.57345
Italy,Europe,2007,80.546,58147733,28569.7197
