country,continent,year,lifeExp,pop,gdpPercap
Luxembourg,Europe,1950,65.7472,295587,14554.95629
Luxembourg,Europe,1952,65.92,299263,14326.13779
Luxembourg,Europe,1957,67.47,308453,16545.86334
Luxembourg,Europe,1960,69.07,313969,17086.72171
Luxembourg,Europe,1961,69.57,316845,17621.05133
Luxembourg,Europe,1962,68.67,320750,17713.69998
Luxembourg,Europe,1963,68.89,324100,17788.60394
Luxembourg,Europe,1964,69.07,327750,19273.35177
Luxembourg,Europe,1965,69.4,331500,19349.15509
Luxembourg,Europe,1966,69.31,333895,19340.04205
Luxembourg,Europe,1967,69.69,335012,19163.00329
Luxembourg,Europe,1968,70.28,335867,19989.64977
Luxembourg,Europe,1969,69.84,337500,22105.34353
Luxembourg,Europe,1970,69.58,339174,22298.67123
Luxembourg,Europe,1971,69.47,342400,22667.93419
Luxembourg,Europe,1972,70.71,346600,23883.19799
Luxembourg,Europe,1973,70.47,350450,25579.14322
Luxembourg,Europe,1974,70.55,355050,26441.81023
Luxembourg,Europe,1975,70.52,358950,24454.52122
Luxembourg,Europe,1976,70.47,360750,24917.28779
Luxembourg,Europe,1977,71.76,361450,25282.32839
Luxembourg,Europe,1978,71.71,362100,26202.0136
Luxembourg,Europe,1979,72.41,363000,26887.08062
Luxembourg,Europe,1980,72.59,364400,27021.64537
Luxembourg,Europe,1981,72.38,365400,26826.65989
Luxembourg,Europe,1982,72.47,365718,27078.42115
Luxembourg,Europe,1983,73.35,365885,27876.96353
Luxembourg,Europe,1984,73.11,366272,29606.07112
Luxembourg,Europe,1985,73.68,367169,30435.46678
Luxembourg,Europe,1986,74.61,369019,33355.97899
Luxembourg,Europe,1987,74.15,371660,34518.86801
Luxembourg,Europe,1988,74.75,375624,37373.59064
Luxembourg,Europe,1989,74.68,377621,40736.66326
Luxembourg,Europe,1990,75.4,382966,42467.63837
Luxembourg,Europe,1991,75.47,387152,45750.52091
Luxembourg,Europe,1992,75.17,392552,45854.3599
Luxembourg,Europe,1993,75.75,398084,47055.53084
Luxembourg,Europe,1994,76.37,403756,48284.01468
Luxembourg,Europe,1995,76.48,409704,48165.2586
Luxembourg,Europe,1996,76.5,415566,49005.58853
Luxembourg,Europe,1997,76.82,421014,52622.89589
Luxembourg,Europe,1998,77.01,426495,55788.95866
Luxembourg,Europe,1999,77.68,432527,59349.52097
Luxembourg,Europe,2000,77.83,438777,63924.1627
Luxembourg,Europe,2001,77.96,444779,63932.8448
Luxembourg,Europe,2002,78.09,450786,64421.03482
Luxembourg,Europe,2003,77.96,456764,65308.34204
Luxembourg,Europe,2004,79.27,462690,67283.43435
Luxembourg,Europe,2005,79.57,468571,70014
