country,continent,year,lifeExp,pop,gdpPercap
Netherlands,Europe,1950,71.45,10113527,8812.238998
Netherlands,Europe,1951,71.51,10264311,8892.34982
Netherlands,Europe,1952,72.13,10381988,8941.571858
Netherlands,Europe,1953,71.71,10493184,9596.895432
Netherlands,Europe,1954,72.4,10615380,10147.32274
Netherlands,Europe,1955,72.52,10750842,10738.2935
Netherlands,Europe,1956,72.54,10889351,11083.16937
Netherlands,Europe,1957,72.99,11026383,11276.19344
Netherlands,Europe,1958,73.15,11186875,10999.30344
Netherlands,Europe,1959,73.19,11347639,11358.20225
Netherlands,Europe,1960,73.37,11486000,12241.95066
Netherlands,Europe,1961,73.56,11638713,12434.57791
Netherlands,Europe,1962,73.23,11805689,12790.84956
Netherlands,Europe,1963,73.35,11965966,13039.60049
Netherlands,Europe,1964,73.73,12127120,13985.56106
Netherlands,Europe,1965,73.6,12292000,14533.04844
Netherlands,Europe,1966,73.55,12454800,14749.6671
Netherlands,Europe,1967,73.82,12596822,15363.25136
Netherlands,Europe,1968,73.63,12724680,16231.6153
Netherlands,Europe,1969,73.54,12873000,17146.65508
Netherlands,Europe,1970,73.6,13032335,17909.64795
Netherlands,Europe,1971,73.84,13193776,18483.3995
Netherlands,Europe,1972,73.75,13329874,18794.74567
Netherlands,Europe,1973,74.2,13438404,19560.58115
Netherlands,Europe,1974,74.59,13540584,20208.28106
Netherlands,Europe,1975,74.52,13653438,20068.17329
Netherlands,Europe,1976,74.65,13769913,20812.64584
Netherlands,Europe,1977,75.24,13852989,21209.0592
Netherlands,Europe,1978,75.15,13936754,21607.64747
Netherlands,Europe,1979,75.63,14030002,21847.80201
Netherlands,Europe,1980,75.76,14143901,22044.90535
Netherlands,Europe,1981,75.97,14246049,21783.56027
Netherlands,Europe,1982,76.05,14310401,21399.46046
Netherlands,Europe,1983,76.25,14362381,21703.915
Netherlands,Europe,1984,76.32,14420022,22290.6277
Netherlands,Europe,1985,76.38,14491380,22787.38849
Netherlands,Europe,1986,76.36,14571875,23368.00461
Netherlands,Europe,1987,76.83,14665278,23651.32361
Netherlands,Europe,1988,77.03,14761339,24302.25513
Netherlands,Europe,1989,76.87,14848907,25225.01637
Netherlands,Europe,1990,77.05,14951510,26109.49388
Netherlands,Europe,1991,77.21,15066220,26530.06767
Netherlands,Europe,1992,77.42,15174244,26790.94961
Netherlands,Europe,1993,77.11,15274942,26960.7786
Netherlands,Europe,1994,77.6,15382198,27589.56463
Netherlands,Europe,1995,77.64,15459054,28303.36981
Netherlands,Europe,1996,77.65,15527809,29161.33172
Netherlands,Europe,1997,78.03,15604464,30246.13063
Netherlands,Europe,1998,78.12,15699259,31249.3731
Netherlands,Europe,1999,78.07,15801947,32505.09307
Netherlands,Europe,2000,78.24,15907853,33525.11132
Netherlands,Europe,2001,78.45,16017445,33908.08336
Netherlands,Europe,2002,78.53,16122830,33724.75778
Netherlands,Europe,2003,78.79,16223248,33666.42283
Netherlands,Europe,2004,79.38,16318199,34289.93315
Netherlands,Europe,2005,79.65,16407491,34724
Netherlands,Europe,2006,80,16491461,35653.39385
Netherlands,Europe,2007,79.762,16570613,36797.93332
