country,continent,year,lifeExp,pop,gdpPercap
Portugal,Europe,1950,58.53,8442750,2961.890656
Portugal,Europe,1951,58.72,8490250,3077.244823
Portugal,Europe,1952,59.82,8526050,3068.319867
Portugal,Europe,1953,61.12,8578950,3262.202522
Portugal,Europe,1954,62.26,8632100,3397.693176
Portugal,Europe,1955,61.43,8692600,3513.188054
Portugal,Europe,1956,61.24,8756000,3639.99042
Portugal,Europe,1957,61.51,8817650,3774.571743
Portugal,Europe,1958,63.81,8888550,3793.655171
Portugal,Europe,1959,62.99,8961550,3966.469796
Portugal,Europe,1960,64.25,9036700,4196.145957
Portugal,Europe,1961,62.87,9031200,4428.041583
Portugal,Europe,1962,64.39,9019800,4727.954889
Portugal,Europe,1963,65.02,9081600,4974.495622
Portugal,Europe,1964,65.24,9122500,5278.676878
Portugal,Europe,1965,66.19,9128850,5667.6641
Portugal,Europe,1966,65.7,9108800,5911.266372
Portugal,Europe,1967,66.6,9103000,6361.517993
Portugal,Europe,1968,66.91,9115050,6918.30301
Portugal,Europe,1969,66.52,9097200,7079.032443
Portugal,Europe,1970,67.17,9044200,7769.405655
Portugal,Europe,1971,66.94,8990450,8334.24931
Portugal,Europe,1972,69.26,8970450,9022.247417
Portugal,Europe,1973,68.66,8975950,10026.71305
Portugal,Europe,1974,69.21,9098300,10005.00041
Portugal,Europe,1975,68.93,9411090,9251.915675
Portugal,Europe,1976,69.16,9621970,9673.53026
Portugal,Europe,1977,70.41,9662600,10172.48572
Portugal,Europe,1978,70.87,9698780,10419.96086
Portugal,Europe,1979,71.68,9724560,10978.31049
Portugal,Europe,1980,71.75,9777800,11419.72089
Portugal,Europe,1981,71.94,9850079,11519.39143
Portugal,Europe,1982,72.77,9859650,11753.84291
Portugal,Europe,1983,72.69,9872243,11718.43036
Portugal,Europe,1984,72.98,9885387,11482.98624
Portugal,Europe,1985,73.26,9897192,11791.30369
Portugal,Europe,1986,73.66,9907411,12266.89424
Portugal,Europe,1987,74.06,9915289,13039.30876
Portugal,Europe,1988,74.07,9920611,14008.38139
Portugal,Europe,1989,74.63,9923147,14724.11143
Portugal,Europe,1990,74.25,9922689,15369.31004
Portugal,Europe,1991,74.19,9919009,16046.60894
Portugal,Europe,1992,74.86,9927680,16207.26663
Portugal,Europe,1993,74.77,9967832,15812.16157
Portugal,Europe,1994,75.76,10027688,15869.42749
Portugal,Europe,1995,75.58,10065543,16486.83637
Portugal,Europe,1996,75.53,10099918,17027.44647
Portugal,Europe,1997,75.97,10156415,17641.03156
Portugal,Europe,1998,76.18,10224828,18368.51878
Portugal,Europe,1999,76.35,10283381,18959.83625
Portugal,Europe,2000,76.83,10335597,19609.7337
Portugal,Europe,2001,77.11,10386753,19904.86524
Portugal,Europe,2002,77.29,10433867,19970.90787
Portugal,Europe,2003,77.48,10479955,19727.84414
Portugal,Europe,2004,78.31,10524145,19942.44358
Portugal,Europe,2005,78.18,10566212,20006
Portugal,Europe,2006,78.92,10605870,20149.08282
Portugal,Europe,2007,78.098,10642836,20509.64777
