country,continent,year,lifeExp,pop,gdpPercap
Slovak Republic,Europe,1950,60.89,3463446,4937.839017
Slovak Republic,Europe,1951,61.31,3508698,4970.411872
Slovak Republic,Europe,1952,64.36,3558137,5074.659104
Slovak Republic,Europe,1953,65.66,3598761,4999.307811
Slovak Republic,Europe,1954,66.71,3661437,5150.732006
Slovak Republic,Europe,1955,67.84,3726601,5532.033914
Slovak Republic,Europe,1956,68.37,3787111,5797.496197
Slovak Republic,Europe,1957,67.45,3844277,6093.26298
Slovak Republic,Europe,1958,69.35,3899751,6502.623726
Slovak Republic,Europe,1959,69.03,3946039,6742.238031
Slovak Republic,Europe,1960,70.35,3994270,7205.561032
Slovak Republic,Europe,1961,70.79,4191642,7424.430114
Slovak Republic,Europe,1962,70.33,4237384,7481.107598
Slovak Republic,Europe,1963,70.71,4281858,7292.141169
Slovak Republic,Europe,1964,71.09,4326174,7578.137275
Slovak Republic,Europe,1965,70.3,4369939,7804.175584
Slovak Republic,Europe,1966,70.44,4408988,8097.451214
Slovak Republic,Europe,1967,70.98,4442238,8412.902397
Slovak Republic,Europe,1968,70.5,4471590,8777.18413
Slovak Republic,Europe,1969,69.81,4477625,8962.512606
Slovak Republic,Europe,1970,69.74,4523873,9121.124006
Slovak Republic,Europe,1971,69.88,4556627,9391.969294
Slovak Republic,Europe,1972,70.35,4593433,9674.167626
Slovak Republic,Europe,1973,70.05,4637193,9932.092651
Slovak Republic,Europe,1974,70.21,4682100,10216.41636
Slovak Republic,Europe,1975,70.33,4729718,10437.15553
Slovak Republic,Europe,1976,70.5,4778540,10524.37101
Slovak Republic,Europe,1977,70.45,4827803,10922.66404
Slovak Republic,Europe,1978,70.46,4876017,10983.18709
Slovak Republic,Europe,1979,70.79,4922558,11008.5129
Slovak Republic,Europe,1980,70.44,4965958,11259.06765
Slovak Republic,Europe,1981,70.68,5013692,11160.96629
Slovak Republic,Europe,1982,70.8,5048043,11348.54585
Slovak Republic,Europe,1983,70.49,5081376,11492.07554
Slovak Republic,Europe,1984,70.73,5114080,11735.03758
Slovak Republic,Europe,1985,70.74,5144632,11802.3231
Slovak Republic,Europe,1986,70.91,5172084,11999.8954
Slovak Republic,Europe,1987,71.08,5199318,12037.26758
Slovak Republic,Europe,1988,71.16,5223222,12284.15683
Slovak Republic,Europe,1989,70.95,5244662,12367.43654
Slovak Republic,Europe,1990,70.83,5262616,12007.54734
Slovak Republic,Europe,1991,70.9,5281610,10215.84381
Slovak Republic,Europe,1992,71.38,5302888,9498.467723
Slovak Republic,Europe,1993,71.9,5323577,9636.518229
Slovak Republic,Europe,1994,72.36,5345264,10195.81195
Slovak Republic,Europe,1995,72.29,5361594,10759.83561
Slovak Republic,Europe,1996,72.78,5373190,11482.62754
Slovak Republic,Europe,1997,72.71,5383010,12126.23065
Slovak Republic,Europe,1998,72.61,5390236,12564.3447
Slovak Republic,Europe,1999,72.98,5395739,12600.77218
Slovak Republic,Europe,2000,73.18,5400320,12689.75974
Slovak Republic,Europe,2001,73.61,5404681,13098.91143
Slovak Republic,Europe,2002,73.8,5410052,13638.77837
Slovak Republic,Europe,2003,73.84,5416406,14207.564
Slovak Republic,Europe,2004,74.25,5423567,14977.86553
Slovak Republic,Europe,2005,74.19,5431363,15881
Slovak Republic,Europe,2006,74.44,5439448,17190.05794
Slovak Republic,Europe,2007,74.663,5447502,18678.31435
