country,continent,year,lifeExp,pop,gdpPercap
Sweden,Europe,1950,71.14,7014005,8364.828768
Sweden,Europe,1951,71.37,7072830,8545.296586
Sweden,Europe,1952,71.86,7124673,8527.844662
Sweden,Europe,1953,71.9,7171461,8813.990774
Sweden,Europe,1954,72.36,7213490,9225.152633
Sweden,Europe,1955,72.6,7262388,9420.620992
Sweden,Europe,1956,72.66,7314552,9680.239638
Sweden,Europe,1957,72.49,7363802,9911.878226
Sweden,Europe,1958,73.14,7409144,10209.70983
Sweden,Europe,1959,73.37,7446249,10636.33094
Sweden,Europe,1960,73.04,7480395,11183.12944
Sweden,Europe,1961,73.5,7519998,11690.64609
Sweden,Europe,1962,73.37,7561588,12329.44192
Sweden,Europe,1963,73.56,7604328,12906.36165
Sweden,Europe,1964,73.73,7661354,13839.08238
Sweden,Europe,1965,73.88,7733853,14409.93874
Sweden,Europe,1966,74.13,7807797,14897.89006
Sweden,Europe,1967,74.16,7867931,15258.29697
Sweden,Europe,1968,74.03,7912217,15841.82295
Sweden,Europe,1969,74.15,7968018,16615.07701
Sweden,Europe,1970,74.7,8042803,17380.25592
Sweden,Europe,1971,74.62,8098328,17313.08853
Sweden,Europe,1972,74.72,8122293,17832.02464
Sweden,Europe,1973,74.88,8136774,18503.18045
Sweden,Europe,1974,74.99,8160560,18860.88036
Sweden,Europe,1975,75,8192566,19179.67177
Sweden,Europe,1976,75.01,8222310,19195.78047
Sweden,Europe,1977,75.44,8251648,18855.72521
Sweden,Europe,1978,75.53,8275778,19217.41608
Sweden,Europe,1979,75.57,8293723,19934.46561
Sweden,Europe,1980,75.8,8310473,20411.32375
Sweden,Europe,1981,76.1,8320485,20524.70759
Sweden,Europe,1982,76.42,8325260,20667.38125
Sweden,Europe,1983,76.66,8329028,21209.63345
Sweden,Europe,1984,76.92,8342621,22140.9169
Sweden,Europe,1985,76.78,8356337,22642.16415
Sweden,Europe,1986,77.04,8384069,22960.83959
Sweden,Europe,1987,77.19,8421403,23586.92927
Sweden,Europe,1988,77.08,8469339,23962.27119
Sweden,Europe,1989,77.74,8526276,24357.83168
Sweden,Europe,1990,77.67,8600815,24740.45183
Sweden,Europe,1991,77.81,8668112,24488.92001
Sweden,Europe,1992,78.16,8718867,23880.01683
Sweden,Europe,1993,78.24,8769284,23254.13698
Sweden,Europe,1994,78.86,8831493,23752.07681
Sweden,Europe,1995,78.94,8877890,24361.30683
Sweden,Europe,1996,79.15,8892234,24628.87784
Sweden,Europe,1997,79.39,8897619,25266.59499
Sweden,Europe,1998,79.53,8902684,26173.14884
Sweden,Europe,1999,79.61,8909790,27328.73948
Sweden,Europe,2000,79.84,8923569,28447.86072
Sweden,Europe,2001,79.93,8939915,28695.77327
Sweden,Europe,2002,80.04,8954175,29341.63093
Sweden,Europe,2003,80.33,8970306,29852.5413
Sweden,Europe,2004,80.67,8986400,31027.89129
Sweden,Europe,2005,80.75,9001774,31995
Sweden,Europe,2006,80.95,9016596,33156.20545
Sweden,Europe,2007,80.884,9031088,33859.74835
