country,continent,year,lifeExp,pop,gdpPercap
Russia,FSU,1950,57.3,101936816,3674.952691
Russia,FSU,1973,69,132556176,10737.71735
Russia,FSU,1990,69.36,147974148,12690.1861
Russia,FSU,1991,69.11,148299817,12029.20232
Russia,FSU,1992,67.98,148401650,10277.91045
Russia,FSU,1993,65.24,148392385,9384.318126
Russia,FSU,1994,63.93,148446239,8189.537608
Russia,FSU,1995,64.62,148495015,7851.186848
Russia,FSU,1996,65.89,148318876,7577.532295
Russia,FSU,1997,66.79,148077459,7696.144677
Russia,FSU,1998,67.13,147826912,7300.601624
Russia,FSU,1999,65.99,147369604,7791.944796
Russia,FSU,2000,65.37,146731774,8608.397258
Russia,FSU,2001,65.29,146018987,9091.590235
Russia,FSU,2002,65.01,145266326,9568.214741
Russia,FSU,2003,64.92,144586191,10314.98906
Russia,FSU,2004,65.3,143974059,11104.68226
Russia,FSU,2005,65.33,143420309,11861
Russia,FSU,2006,66.62,142893540,12720.83269
Russia,FSU,2007,65.475,142369485,13820.71137
