country,continent,year,lifeExp,pop,gdpPercap
Ukraine,FSU,1950,62.6,36774854,3601.453637
Ukraine,FSU,1973,71.05,48367002,6636.820578
Ukraine,FSU,1990,70.46,51622275,8123.203645
Ukraine,FSU,1991,69.64,51730355,7400.989699
Ukraine,FSU,1992,69,51869109,6650.453507
Ukraine,FSU,1993,68.31,51887112,5704.109297
Ukraine,FSU,1994,67.7,51637611,4419.117751
Ukraine,FSU,1995,66.79,51247259,3909.539358
Ukraine,FSU,1996,67.11,50812520,3548.689544
Ukraine,FSU,1997,67.69,50369926,3472.475276
Ukraine,FSU,1998,68.57,49938798,3435.906978
Ukraine,FSU,1999,68.15,49487245,3460.323855
Ukraine,FSU,2000,67.79,49007559,3700.350923
Ukraine,FSU,2001,67.93,48510505,4082.186353
Ukraine,FSU,2002,67.81,48058877,4334.816758
Ukraine,FSU,2003,67.87,47668303,4781.145856
Ukraine,FSU,2004,67.73,47309706,5400.284939
Ukraine,FSU,2005,67.31,46996765,5583
Ukraine,FSU,2006,67.96,46710816,6039.51313
Ukraine,FSU,2007,67.864,46435909,6549.37178
